# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 40.000000 2.386378 3.085493 4.040044
-120.889306 35.539640 40.000000 2.605737 3.102193 4.144488
-120.883745 35.539640 40.000000 2.833064 3.115223 4.248449
-120.878184 35.539640 40.000000 3.068467 3.124292 4.351679
-120.872623 35.539640 40.000000 3.312036 3.129099 4.453913
-120.867062 35.539640 40.000000 3.563851 3.129329 4.554870
-120.861502 35.539640 40.000000 3.823972 3.124659 4.654248
-120.855941 35.539640 40.000000 4.092443 3.114751 4.751728
-120.850380 35.539640 40.000000 4.369288 3.099258 4.846973
-120.844819 35.539640 40.000000 4.654509 3.077822 4.939625
-120.839258 35.539640 40.000000 4.948086 3.050075 5.029310
-120.833697 35.539640 40.000000 5.249971 3.015642 5.115630
-120.828137 35.539640 40.000000 5.560092 2.974136 5.198173
-120.822576 35.539640 40.000000 5.878345 2.925167 5.276505
-120.817015 35.539640 40.000000 6.204597 2.868335 5.350174
-120.811454 35.539640 40.000000 6.538679 2.803238 5.418709
-120.805893 35.539640 40.000000 6.880389 2.729469 5.481625
-120.800332 35.539640 40.000000 7.229484 2.646621 5.538415
-120.794772 35.539640 40.000000 7.585685 2.554286 5.588560
-120.789211 35.539640 40.000000 7.948668 2.452058 5.631525
-120.783650 35.539640 40.000000 8.318067 2.339536 5.666763
-120.778089 35.539640 40.000000 8.693469 2.216326 5.693714
-120.772528 35.539640 40.000000 9.074412 2.082043 5.711808
-120.766968 35.539640 40.000000 9.460387 1.936314 5.720469
-120.761407 35.539640 40.000000 9.850833 1.778783 5.719116
-120.755846 35.539640 40.000000 10.245134 1.609110 5.707163
-120.750285 35.539640 40.000000 10.642624 1.426978 5.684028
-120.744724 35.539640 40.000000 11.042579 1.232097 5.649129
-120.739163 35.539640 40.000000 11.444221 1.024206 5.601894
-120.733603 35.539640 40.000000 11.846715 0.803075 5.541761
-120.728042 35.539640 40.000000 12.249169 0.568516 5.468184
-120.722481 35.539640 40.000000 12.650638 0.320379 5.380634
-120.716920 35.539640 40.000000 13.050119 0.058561 5.278608
