# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 33.500000 -1.177228 0.480844 0.009952
-119.830525 38.241730 33.500000 -1.174357 0.507386 0.037643
-119.827646 38.241730 33.500000 -1.171163 0.534332 0.065867
-119.824768 38.241730 33.500000 -1.167643 0.561676 0.094619
-119.821890 38.241730 33.500000 -1.163797 0.589414 0.123895
-119.819011 38.241730 33.500000 -1.159621 0.617540 0.153691
-119.816133 38.241730 33.500000 -1.155114 0.646047 0.184001
-119.813255 38.241730 33.500000 -1.150277 0.674929 0.214819
-119.810376 38.241730 33.500000 -1.145108 0.704179 0.246136
-119.807498 38.241730 33.500000 -1.139607 0.733789 0.277947
-119.804620 38.241730 33.500000 -1.133776 0.763751 0.310241
-119.801741 38.241730 33.500000 -1.127614 0.794055 0.343009
-119.798863 38.241730 33.500000 -1.121125 0.824692 0.376242
-119.795985 38.241730 33.500000 -1.114310 0.855651 0.409927
-119.793106 38.241730 33.500000 -1.107172 0.886922 0.444053
-119.790228 38.241730 33.500000 -1.099715 0.918493 0.478607
-119.787349 38.241730 33.500000 -1.091942 0.950352 0.513575
-119.784471 38.241730 33.500000 -1.083859 0.982486 0.548942
-119.781593 38.241730 33.500000 -1.075471 1.014881 0.584693
-119.778714 38.241730 33.500000 -1.066784 1.047524 0.620810
-119.775836 38.241730 33.500000 -1.057805 1.080399 0.657277
-119.772958 38.241730 33.500000 -1.048542 1.113492 0.694075
-119.770079 38.241730 33.500000 -1.039003 1.146785 0.731184
-119.767201 38.241730 33.500000 -1.029196 1.180261 0.768583
-119.764323 38.241730 33.500000 -1.019133 1.213905 0.806252
-119.761444 38.241730 33.500000 -1.008823 1.247696 0.844167
-119.758566 38.241730 33.500000 -0.998278 1.281617 0.882306
-119.755688 38.241730 33.500000 -0.987511 1.315648 0.920644
-119.752809 38.241730 33.500000 -0.976533 1.349769 0.959156
-119.749931 38.241730 33.500000 -0.965360 1.383960 0.997816
-119.747052 38.241730 33.500000 -0.954006 1.418198 1.036596
-119.744174 38.241730 33.500000 -0.942486 1.452463 1.075468
-119.741296 38.241730 33.500000 -0.930817 1.486731 1.114404
-119.738417 38.241730 33.500000 -0.919015 1.520980 1.153374
-119.735539 38.241730 33.500000 -0.907098 1.555187 1.192348
-119.732661 38.241730 33.500000 -0.895085 1.589328 1.231294
-119.729782 38.241730 33.500000 -0.882996 1.623379 1.270180
-119.726904 38.241730 33.500000 -0.870849 1.657314 1.308974
-119.724026 38.241730 33.500000 -0.858667 1.691109 1.347643
-119.721147 38.241730 33.500000 -0.846470 1.724740 1.386152
-119.718269 38.241730 33.500000 -0.834280 1.758180 1.424467
-119.715391 38.241730 33.500000 -0.822120 1.791403 1.462555
-119.712512 38.241730 33.500000 -0.810013 1.824384 1.500379
-119.709634 38.241730 33.500000 -0.797982 1.857097 1.537905
-119.706756 38.241730 33.500000 -0.786052 1.889517 1.575096
-119.703877 38.241730 33.500000 -0.774247 1.921616 1.611918
-119.700999 38.241730 33.500000 -0.762591 1.953371 1.648334
-119.698120 38.241730 33.500000 -0.751110 1.984754 1.684310
-119.695242 38.241730 33.500000 -0.739829 2.015741 1.719809
-119.692364 38.241730 33.500000 -0.728772 2.046306 1.754797
-119.689485 38.241730 33.500000 -0.717965 2.076426 1.789240
-119.686607 38.241730 33.500000 -0.707434 2.106076 1.823102
-119.683729 38.241730 33.500000 -0.697203 2.135232 1.856351
-119.680850 38.241730 33.500000 -0.687296 2.163872 1.888954
-119.677972 38.241730 33.500000 -0.677739 2.191974 1.920878
-119.675094 38.241730 33.500000 -0.668554 2.219516 1.952094
-119.672215 38.241730 33.500000 -0.659766 2.246478 1.982572
-119.669337 38.241730 33.500000 -0.651396 2.272841 2.012283
-119.666459 38.241730 33.500000 -0.643466 2.298586 2.041200
-119.663580 38.241730 33.500000 -0.635998 2.323697 2.069298
-119.660702 38.241730 33.500000 -0.629010 2.348157 2.096553
-119.657823 38.241730 33.500000 -0.622521 2.371952 2.122944
-119.654945 38.241730 33.500000 -0.616549 2.395069 2.148450
-119.652067 38.241730 33.500000 -0.611108 2.417497 2.173054
-119.649188 38.241730 33.500000 -0.606214 2.439225 2.196739
-119.646310 38.241730 33.500000 -0.601878 2.460244 2.219493
-119.643432 38.241730 33.500000 -0.598112 2.480549 2.241304
-119.640553 38.241730 33.500000 -0.594923 2.500135 2.262165
-119.637675 38.241730 33.500000 -0.592319 2.518997 2.282070
-119.634797 38.241730 33.500000 -0.590304 2.537136 2.301015
-119.631918 38.241730 33.500000 -0.588879 2.554552 2.319001
-119.629040 38.241730 33.500000 -0.588046 2.571248 2.336030
-119.626162 38.241730 33.500000 -0.587800 2.587228 2.352108
-119.623283 38.241730 33.500000 -0.588137 2.602499 2.367244
-119.620405 38.241730 33.500000 -0.589048 2.617070 2.381451
-119.617527 38.241730 33.500000 -0.590522 2.630951 2.394742
-119.614648 38.241730 33.500000 -0.592546 2.644155 2.407136
-119.611770 38.241730 33.500000 -0.595104 2.656697 2.418655
-119.608891 38.241730 33.500000 -0.598175 2.668593 2.429323
-119.606013 38.241730 33.500000 -0.601738 2.679862 2.439167
-119.603135 38.241730 33.500000 -0.605766 2.690524 2.448218
-119.600256 38.241730 33.500000 -0.610231 2.700602 2.456509
-119.597378 38.241730 33.500000 -0.615102 2.710118 2.464077
-119.594500 38.241730 33.500000 -0.620345 2.719099 2.470961
-119.591621 38.241730 33.500000 -0.625921 2.727570 2.477202
-119.588743 38.241730 33.500000 -0.631792 2.735561 2.482844
-119.585865 38.241730 33.500000 -0.637914 2.743101 2.487935
-119.582986 38.241730 33.500000 -0.644241 2.750220 2.492523
-119.580108 38.241730 33.500000 -0.650726 2.756950 2.496659
-119.577230 38.241730 33.500000 -0.657317 2.763322 2.500395
-119.574351 38.241730 33.500000 -0.663962 2.769371 2.503786
-119.571473 38.241730 33.500000 -0.670606 2.775129 2.506886
-119.568595 38.241730 33.500000 -0.677191 2.780629 2.509753
-119.565716 38.241730 33.500000 -0.683660 2.785907 2.512443
-119.562838 38.241730 33.500000 -0.689951 2.790994 2.515013
-119.559959 38.241730 33.500000 -0.696004 2.795924 2.517522
-119.557081 38.241730 33.500000 -0.701754 2.800730 2.520028
-119.554203 38.241730 33.500000 -0.707140 2.805443 2.522587
-119.551324 38.241730 33.500000 -0.712097 2.810094 2.525256
-119.548446 38.241730 33.500000 -0.716561 2.814714 2.528090
-119.545568 38.241730 33.500000 -0.720467 2.819330 2.531143
-119.542689 38.241730 33.500000 -0.723752 2.823969 2.534468
-119.539811 38.241730 33.500000 -0.726351 2.828656 2.538115
-119.536933 38.241730 33.500000 -0.728204 2.833413 2.542132
-119.534054 38.241730 33.500000 -0.729248 2.838262 2.546563
-119.531176 38.241730 33.500000 -0.729424 2.843221 2.551451
-119.528298 38.241730 33.500000 -0.728674 2.848305 2.556835
-119.525419 38.241730 33.500000 -0.726942 2.853527 2.562750
-119.522541 38.241730 33.500000 -0.724176 2.858899 2.569228
-119.519662 38.241730 33.500000 -0.720325 2.864427 2.576297
-119.516784 38.241730 33.500000 -0.715342 2.870116 2.583979
-119.513906 38.241730 33.500000 -0.709181 2.875966 2.592294
-119.511027 38.241730 33.500000 -0.701804 2.881977 2.601255
-119.508149 38.241730 33.500000 -0.693172 2.888142 2.610873
-119.505271 38.241730 33.500000 -0.683254 2.894453 2.621151
-119.502392 38.241730 33.500000 -0.672021 2.900898 2.632090
-119.499514 38.241730 33.500000 -0.659448 2.907463 2.643683
-119.496636 38.241730 33.500000 -0.645517 2.914127 2.655920
-119.493757 38.241730 33.500000 -0.630212 2.920871 2.668786
-119.490879 38.241730 33.500000 -0.613524 2.927668 2.682259
-119.488001 38.241730 33.500000 -0.595447 2.934492 2.696313
-119.485122 38.241730 33.500000 -0.575981 2.941311 2.710918
-119.482244 38.241730 33.500000 -0.555132 2.948091 2.726038
-119.479366 38.241730 33.500000 -0.532910 2.954796 2.741633
-119.476487 38.241730 33.500000 -0.509329 2.961388 2.757656
-119.473609 38.241730 33.500000 -0.484410 2.967824 2.774060
-119.470730 38.241730 33.500000 -0.458177 2.974062 2.790791
-119.467852 38.241730 33.500000 -0.430662 2.980056 2.807791
-119.464974 38.241730 33.500000 -0.401898 2.985759 2.825000
-119.462095 38.241730 33.500000 -0.371924 2.991122 2.842353
-119.459217 38.241730 33.500000 -0.340785 2.996097 2.859783
-119.456339 38.241730 33.500000 -0.308528 3.000631 2.877220
-119.453460 38.241730 33.500000 -0.275206 3.004674 2.894592
-119.450582 38.241730 33.500000 -0.240873 3.008174 2.911825
-119.447704 38.241730 33.500000 -0.205589 3.011079 2.928843
-119.444825 38.241730 33.500000 -0.169417 3.013336 2.945569
-119.441947 38.241730 33.500000 -0.132422 3.014894 2.961925
-119.439069 38.241730 33.500000 -0.094674 3.015702 2.977832
-119.436190 38.241730 33.500000 -0.056242 3.015709 2.993212
-119.433312 38.241730 33.500000 -0.017199 3.014866 3.007986
-119.430433 38.241730 33.500000 0.022379 3.013126 3.022077
-119.427555 38.241730 33.500000 0.062416 3.010442 3.035408
-119.424677 38.241730 33.500000 0.102835 3.006770 3.047904
-119.421798 38.241730 33.500000 0.143558 3.002067 3.059490
-119.418920 38.241730 33.500000 0.184505 2.996293 3.070094
-119.416042 38.241730 33.500000 0.225597 2.989410 3.079648
-119.413163 38.241730 33.500000 0.266756 2.981382 3.088085
-119.410285 38.241730 33.500000 0.307902 2.972178 3.095339
-119.407407 38.241730 33.500000 0.348957 2.961768 3.101350
-119.404528 38.241730 33.500000 0.389844 2.950123 3.106061
-119.401650 38.241730 33.500000 0.430488 2.937222 3.109417
-119.398772 38.241730 33.500000 0.470813 2.923044 3.111369
-119.395893 38.241730 33.500000 0.510748 2.907570 3.111869
-119.393015 38.241730 33.500000 0.550220 2.890787 3.110875
-119.390137 38.241730 33.500000 0.589162 2.872685 3.108350
-119.387258 38.241730 33.500000 0.627507 2.853255 3.104258
-119.384380 38.241730 33.500000 0.665192 2.832495 3.098572
-119.381501 38.241730 33.500000 0.702155 2.810402 3.091264
-119.378623 38.241730 33.500000 0.738338 2.786981 3.082316
-119.375745 38.241730 33.500000 0.773686 2.762236 3.071710
-119.372866 38.241730 33.500000 0.808148 2.736177 3.059436
-119.369988 38.241730 33.500000 0.841673 2.708815 3.045484
-119.367110 38.241730 33.500000 0.874216 2.680167 3.029853
-119.364231 38.241730 33.500000 0.905736 2.650250 3.012544
-119.361353 38.241730 33.500000 0.936192 2.619085 2.993561
-119.358475 38.241730 33.500000 0.965550 2.586696 2.972916
-119.355596 38.241730 33.500000 0.993778 2.553109 2.950620
-119.352718 38.241730 33.500000 1.020846 2.518353 2.926691
-119.349840 38.241730 33.500000 1.046729 2.482459 2.901151
-119.346961 38.241730 33.500000 1.071406 2.445461 2.874024
-119.344083 38.241730 33.500000 1.094857 2.407394 2.845337
-119.341204 38.241730 33.500000 1.117068 2.368295 2.815123
-119.338326 38.241730 33.500000 1.138026 2.328204 2.783414
-119.335448 38.241730 33.500000 1.157723 2.287160 2.750249
-119.332569 38.241730 33.500000 1.176151 2.245206 2.715667
-119.329691 38.241730 33.500000 1.193309 2.202386 2.679709
-119.326813 38.241730 33.500000 1.209195 2.158743 2.642421
-119.323934 38.241730 33.500000 1.223813 2.114324 2.603849
-119.321056 38.241730 33.500000 1.237167 2.069174 2.564041
-119.318178 38.241730 33.500000 1.249265 2.023340 2.523046
-119.315299 38.241730 33.500000 1.260118 1.976870 2.480917
-119.312421 38.241730 33.500000 1.269737 1.929812 2.437707
-119.309543 38.241730 33.500000 1.278137 1.882213 2.393468
-119.306664 38.241730 33.500000 1.285335 1.834123 2.348256
-119.303786 38.241730 33.500000 1.291348 1.785588 2.302127
-119.300908 38.241730 33.500000 1.296197 1.736657 2.255136
-119.298029 38.241730 33.500000 1.299903 1.687378 2.207339
-119.295151 38.241730 33.500000 1.302490 1.637798 2.158795
-119.292272 38.241730 33.500000 1.303982 1.587965 2.109558
-119.289394 38.241730 33.500000 1.304405 1.537924 2.059686
-119.286516 38.241730 33.500000 1.303786 1.487720 2.009235
-119.283637 38.241730 33.500000 1.302153 1.437400 1.958261
-119.280759 38.241730 33.500000 1.299533 1.387007 1.906821
-119.277881 38.241730 33.500000 1.295958 1.336585 1.854968
-119.275002 38.241730 33.500000 1.291456 1.286175 1.802757
-119.272124 38.241730 33.500000 1.286060 1.235819 1.750243
-119.269246 38.241730 33.500000 1.279799 1.185556 1.697476
-119.266367 38.241730 33.500000 1.272705 1.135427 1.644509
-119.263489 38.241730 33.500000 1.264810 1.085468 1.591392
-119.260611 38.241730 33.500000 1.256146 1.035717 1.538175
-119.257732 38.241730 33.500000 1.246745 0.986207 1.484906
-119.254854 38.241730 33.500000 1.236639 0.936975 1.431631
-119.251975 38.241730 33.500000 1.225859 0.888052 1.378396
-119.249097 38.241730 33.500000 1.214438 0.839470 1.325245
-119.246219 38.241730 33.500000 1.202407 0.791258 1.272221
