# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 189.000000, dip 62.000000, rake -88.000000
-150.424863 61.198775 51.500000 -4.595260 41.788608 39.950503
-150.415446 61.198775 51.500000 -2.437715 45.020336 44.045250
-150.406029 61.198775 51.500000 -0.237277 48.367883 48.272972
-150.396612 61.198775 51.500000 1.996885 51.829594 52.628348
-150.387194 61.198775 51.500000 4.254371 55.403037 57.104785
-150.377777 61.198775 51.500000 6.523507 59.084927 61.694329
-150.368360 61.198775 51.500000 8.791317 62.871061 66.387588
-150.358943 61.198775 51.500000 11.043509 66.756260 71.173663
-150.349525 61.198775 51.500000 13.264481 70.734305 76.040097
-150.340108 61.198775 51.500000 15.437353 74.797889 80.972830
-150.330691 61.198775 51.500000 17.544020 78.938578 85.956186
-150.321274 61.198775 51.500000 19.565243 83.146781 90.972878
-150.311856 61.198775 51.500000 21.480767 87.411737 96.004043
-150.302439 61.198775 51.500000 23.269482 91.721518 101.029311
-150.293022 61.198775 51.500000 24.909625 96.063059 106.026909
-150.283605 61.198775 51.500000 26.379023 100.422203 110.973813
-150.274187 61.198775 51.500000 27.655384 104.783782 115.845935
-150.264770 61.198775 51.500000 28.716636 109.131718 120.618372
-150.255353 61.198775 51.500000 29.541310 113.449166 125.265690
-150.245936 61.198775 51.500000 30.108972 117.718685 129.762274
-150.236518 61.198775 51.500000 30.400690 121.922443 134.082719
-150.227101 61.198775 51.500000 30.399544 126.042460 138.202277
-150.217684 61.198775 51.500000 30.091156 130.060881 142.097344
-150.208267 61.198775 51.500000 29.464244 133.960287 145.745985
-150.198849 61.198775 51.500000 28.511171 137.724024 149.128492
-150.189432 61.198775 51.500000 27.228487 141.336561 152.227956
-150.180015 61.198775 51.500000 25.617438 144.783859 155.030835
-150.170598 61.198775 51.500000 23.684426 148.053744 157.527514
-150.161180 61.198775 51.500000 21.441386 151.136272 159.712827
-150.151763 61.198775 51.500000 18.906077 154.024084 161.586515
-150.142346 61.198775 51.500000 16.102240 156.712712 163.153609
-150.132929 61.198775 51.500000 13.059623 159.200850 164.424700
-150.123511 61.198775 51.500000 9.813828 161.490554 165.416086
-150.114094 61.198775 51.500000 6.405990 163.587364 166.149760
-150.104677 61.198775 51.500000 2.882248 165.500335 166.653234
-150.095260 61.198775 51.500000 -0.706974 167.241960 166.959170
-150.085842 61.198775 51.500000 -4.307888 168.827981 167.104826
-150.076425 61.198775 51.500000 -7.864453 170.277079 167.131298
-150.067008 61.198775 51.500000 -11.319653 171.610443 167.082582
-150.057591 61.198775 51.500000 -14.616914 172.851224 167.004458
-150.048173 61.198775 51.500000 -17.701624 174.023884 166.943234
-150.038756 61.198775 51.500000 -20.522697 175.153450 166.944371
-150.029339 61.198775 51.500000 -23.034152 176.264704 167.051043
-150.019922 61.198775 51.500000 -25.196619 177.381332 167.302685
-150.010504 61.198775 51.500000 -26.978726 178.525054 167.733563
-150.001087 61.198775 51.500000 -28.358310 179.714782 168.371458
-149.991670 61.198775 51.500000 -29.323382 180.965834 169.236481
-149.982253 61.198775 51.500000 -29.872813 182.289239 170.340113
-149.972835 61.198775 51.500000 -30.016685 183.691160 171.684486
-149.963418 61.198775 51.500000 -29.776295 185.172476 173.261958
-149.954001 61.198775 51.500000 -29.183795 186.728529 175.055011
-149.944584 61.198775 51.500000 -28.281475 188.349062 177.036472
-149.935166 61.198775 51.500000 -27.120705 190.018349 179.170067
-149.925749 61.198775 51.500000 -25.760583 191.715516 181.411283
-149.916332 61.198775 51.500000 -24.266327 193.415044 183.708513
-149.906915 61.198775 51.500000 -22.707481 195.087427 186.004435
-149.897497 61.198775 51.500000 -21.156002 196.699976 188.237575
-149.888080 61.198775 51.500000 -19.684295 198.217709 190.343991
-149.878663 61.198775 51.500000 -18.363278 199.604323 192.259012
-149.869246 61.198775 51.500000 -17.260543 200.823190 193.918973
-149.859828 61.198775 51.500000 -16.438665 201.838342 195.262876
-149.850411 61.198775 51.500000 -15.953736 202.615418 196.233923
-149.840994 61.198775 51.500000 -15.854143 203.122530 196.780873
-149.831577 61.198775 51.500000 -16.179625 203.331037 196.859187
-149.822159 61.198775 51.500000 -16.960631 203.216179 196.431927
-149.812742 61.198775 51.500000 -18.217976 202.757594 195.470404
-149.803325 61.198775 51.500000 -19.962778 201.939672 193.954561
-149.793908 61.198775 51.500000 -22.196675 200.751770 191.873100
-149.784491 61.198775 51.500000 -24.912266 199.188286 189.223379
-149.775073 61.198775 51.500000 -28.093770 197.248590 186.011082
-149.765656 61.198775 51.500000 -31.717841 194.936847 182.249711
-149.756239 61.198775 51.500000 -35.754510 192.261725 177.959922
-149.746822 61.198775 51.500000 -40.168211 189.236025 173.168741
-149.737404 61.198775 51.500000 -44.918853 185.876237 167.908696
-149.727987 61.198775 51.500000 -49.962892 182.202058 162.216901
-149.718570 61.198775 51.500000 -55.254392 178.235871 156.134114
-149.709153 61.198775 51.500000 -60.746027 174.002222 149.703812
-149.699735 61.198775 51.500000 -66.390020 169.527296 142.971289
-149.690318 61.198775 51.500000 -72.138982 164.838408 135.982815
-149.680901 61.198775 51.500000 -77.946672 159.963525 128.784857
-149.671484 61.198775 51.500000 -83.768629 154.930826 121.423374
-149.662066 61.198775 51.500000 -89.562717 149.768296 113.943209
-149.652649 61.198775 51.500000 -95.289550 144.503378 106.387558
-149.643232 61.198775 51.500000 -100.912822 139.162663 98.797535
-149.633815 61.198775 51.500000 -106.399539 133.771638 91.211823
-149.624397 61.198775 51.500000 -111.720162 128.354472 83.666407
-149.614980 61.198775 51.500000 -116.848673 122.933855 76.194386
-149.605563 61.198775 51.500000 -121.762571 117.530880 68.825851
-149.596146 61.198775 51.500000 -126.442815 112.164961 61.587835
-149.586728 61.198775 51.500000 -130.873705 106.853786 54.504304
-149.577311 61.198775 51.500000 -135.042739 101.613307 47.596212
-149.567894 61.198775 51.500000 -138.940427 96.457749 40.881579
-149.558477 61.198775 51.500000 -142.560088 91.399646 34.375611
-149.549059 61.198775 51.500000 -145.897634 86.449898 28.090844
-149.539642 61.198775 51.500000 -148.951338 81.617835 22.037300
-149.530225 61.198775 51.500000 -151.721606 76.911306 16.222663
-149.520808 61.198775 51.500000 -154.210742 72.336758 10.652461
-149.511390 61.198775 51.500000 -156.422727 67.899340 5.330249
-149.501973 61.198775 51.500000 -158.362998 63.602998 0.257798
-149.492556 61.198775 51.500000 -160.038243 59.450572 -4.564725
-149.483139 61.198775 51.500000 -161.456202 55.443902 -9.138579
-150.424863 61.203279 51.500000 -7.047297 40.507739 37.688820
-150.415446 61.203279 51.500000 -4.751502 43.862941 41.962340
-150.406029 61.203279 51.500000 -2.399529 47.347711 46.387899
-150.396612 61.203279 51.500000 -0.000476 50.961034 50.960844
-150.387194 61.203279 51.500000 2.435196 54.701074 55.675152
-150.377777 61.203279 51.500000 4.895603 58.565085 60.523326
-150.368360 61.203279 51.500000 7.367391 62.549338 65.496294
-150.358943 61.203279 51.500000 9.835701 66.649039 70.583319
-150.349525 61.203279 51.500000 12.284157 70.858254 75.771917
-150.340108 61.203279 51.500000 14.694880 75.169843 81.047795
-150.330691 61.203279 51.500000 17.048524 79.575401 86.394810
-150.321274 61.203279 51.500000 19.324349 84.065210 91.794950
-150.311856 61.203279 51.500000 21.500334 88.628211 97.228344
-150.302439 61.203279 51.500000 23.553328 93.251986 102.673317
-150.293022 61.203279 51.500000 25.459245 97.922773 108.106471
-150.283605 61.203279 51.500000 27.193318 102.625500 113.502828
-150.274187 61.203279 51.500000 28.730402 107.343848 118.836009
-150.264770 61.203279 51.500000 30.045327 112.060352 124.078482
-150.255353 61.203279 51.500000 31.113316 116.756534 129.201861
-150.245936 61.203279 51.500000 31.910457 121.413082 134.177265
-150.236518 61.203279 51.500000 32.414222 126.010058 138.975747
-150.227101 61.203279 51.500000 32.604037 130.527162 143.568777
-150.217684 61.203279 51.500000 32.461896 134.944028 147.928786
-150.208267 61.203279 51.500000 31.972989 139.240561 152.029757
-150.198849 61.203279 51.500000 31.126362 143.397316 155.847861
-150.189432 61.203279 51.500000 29.915557 147.395902 159.362125
-150.180015 61.203279 51.500000 28.339232 151.219408 162.555101
-150.170598 61.203279 51.500000 26.401739 154.852843 165.413538
-150.161180 61.203279 51.500000 24.113614 158.283578 167.929023
-150.151763 61.203279 51.500000 21.491972 161.501769 170.098558
-150.142346 61.203279 51.500000 18.560769 164.500751 171.925058
-150.132929 61.203279 51.500000 15.350898 167.277378 173.417738
-150.123511 61.203279 51.500000 11.900101 169.832306 174.592346
-150.114094 61.203279 51.500000 8.252670 172.170172 175.471239
-150.104677 61.203279 51.500000 4.458918 174.299682 176.083250
-150.095260 61.203279 51.500000 0.574416 176.233576 176.463342
-150.085842 61.203279 51.500000 -3.341017 177.988449 176.652042
-150.076425 61.203279 51.500000 -7.224546 179.584442 176.694624
-150.067008 61.203279 51.500000 -11.011771 181.044784 176.640076
-150.057591 61.203279 51.500000 -14.638349 182.395189 176.539849
-150.048173 61.203279 51.500000 -18.041755 183.663122 176.446420
-150.038756 61.203279 51.500000 -21.163115 184.876955 176.411709
-150.029339 61.203279 51.500000 -23.949064 186.065027 176.485401
-150.019922 61.203279 51.500000 -26.353534 187.254647 176.713234
-150.010504 61.203279 51.500000 -28.339421 188.471078 177.135310
-150.001087 61.203279 51.500000 -29.880042 189.736530 177.784514
-149.991670 61.203279 51.500000 -30.960315 191.069224 178.685098
-149.982253 61.203279 51.500000 -31.577606 192.482546 179.851504
-149.972835 61.203279 51.500000 -31.742183 193.984356 181.287483
-149.963418 61.203279 51.500000 -31.477261 195.576465 182.985561
-149.954001 61.203279 51.500000 -30.818597 197.254316 184.926877
-149.944584 61.203279 51.500000 -29.813671 199.006891 187.081422
-149.935166 61.203279 51.500000 -28.520454 200.816851 189.408669
-149.925749 61.203279 51.500000 -27.005819 202.660901 191.858573
-149.916332 61.203279 51.500000 -25.343652 204.510371 194.372910
-149.906915 61.203279 51.500000 -23.612735 206.331996 196.886902
-149.897497 61.203279 51.500000 -21.894502 208.088849 199.331048
-149.888080 61.203279 51.500000 -20.270725 209.741397 201.633107
-149.878663 61.203279 51.500000 -18.821256 211.248643 203.720140
-149.869246 61.203279 51.500000 -17.621878 212.569288 205.520537
-149.859828 61.203279 51.500000 -16.742363 213.662893 206.965948
-149.850411 61.203279 51.500000 -16.244778 214.490971 207.993060
-149.840994 61.203279 51.500000 -16.182117 215.017998 208.545151
-149.831577 61.203279 51.500000 -16.597256 215.212288 208.573386
-149.822159 61.203279 51.500000 -17.522272 215.046724 208.037815
-149.812742 61.203279 51.500000 -18.978118 214.499319 206.908071
-149.803325 61.203279 51.500000 -20.974633 213.553603 205.163750
-149.793908 61.203279 51.500000 -23.510867 212.198837 202.794490
-149.784491 61.203279 51.500000 -26.575679 210.430053 199.799781
-149.775073 61.203279 51.500000 -30.148570 208.247948 196.188520
-149.765656 61.203279 51.500000 -34.200687 205.658625 191.978350
-149.756239 61.203279 51.500000 -38.695972 202.673233 187.194844
-149.746822 61.203279 51.500000 -43.592383 199.307498 181.870545
-149.737404 61.203279 51.500000 -48.843156 195.581190 176.043927
-149.727987 61.203279 51.500000 -54.398065 191.517541 169.758315
-149.718570 61.203279 51.500000 -60.204629 187.142633 163.060782
-149.709153 61.203279 51.500000 -66.209263 182.484785 156.001079
-149.699735 61.203279 51.500000 -72.358322 177.573944 148.630615
-149.690318 61.203279 51.500000 -78.599042 172.441112 141.001496
-149.680901 61.203279 51.500000 -84.880351 167.117802 133.165661
-149.671484 61.203279 51.500000 -91.153563 161.635543 125.174118
-149.662066 61.203279 51.500000 -97.372935 156.025443 117.076269
-149.652649 61.203279 51.500000 -103.496101 150.317800 108.919359
-149.643232 61.203279 51.500000 -109.484396 144.541780 100.748021
-149.633815 61.203279 51.500000 -115.303055 138.725145 92.603923
-149.624397 61.203279 51.500000 -120.921335 132.894045 84.525511
-149.614980 61.203279 51.500000 -126.312533 127.072852 76.547839
-149.605563 61.203279 51.500000 -131.453935 121.284053 68.702479
-149.596146 61.203279 51.500000 -136.326708 115.548180 61.017497
-149.586728 61.203279 51.500000 -140.915736 109.883781 53.517487
-149.577311 61.203279 51.500000 -145.209415 104.307427 46.223661
-149.567894 61.203279 51.500000 -149.199426 98.833742 39.153972
-149.558477 61.203279 51.500000 -152.880475 93.475463 32.323273
-149.549059 61.203279 51.500000 -156.250039 88.243514 25.743498
-149.539642 61.203279 51.500000 -159.308086 83.147096 19.423862
-149.530225 61.203279 51.500000 -162.056809 78.193794 13.371070
-149.520808 61.203279 51.500000 -164.500363 73.389679 7.589534
-149.511390 61.203279 51.500000 -166.644606 68.739428 2.081586
-149.501973 61.203279 51.500000 -168.496857 64.246438 -3.152305
-149.492556 61.203279 51.500000 -170.065665 59.912938 -8.113328
-149.483139 61.203279 51.500000 -171.360593 55.740111 -12.804127
-150.424863 61.207784 51.500000 -9.817625 38.966183 35.039133
-150.415446 61.207784 51.500000 -7.382456 42.442661 39.489679
-150.406029 61.207784 51.500000 -4.876325 46.063522 44.112992
-150.396612 61.207784 51.500000 -2.308126 49.828527 48.905276
-150.387194 61.207784 51.500000 0.311746 53.736579 53.861277
-150.377777 61.207784 51.500000 2.971323 57.785625 58.974154
-150.368360 61.207784 51.500000 5.656985 61.972560 64.235354
-150.358943 61.207784 51.500000 8.353408 66.293133 69.634496
-150.349525 61.207784 51.500000 11.043530 70.741849 75.159261
-150.340108 61.207784 51.500000 13.708532 75.311888 80.795301
-150.330691 61.207784 51.500000 16.327865 79.995018 86.526164
-150.321274 61.207784 51.500000 18.879296 84.781534 92.333252
-150.311856 61.207784 51.500000 21.339005 89.660198 98.195800
-150.302439 61.207784 51.500000 23.681724 94.618210 104.090900
-150.293022 61.207784 51.500000 25.880927 99.641193 109.993563
-150.283605 61.207784 51.500000 27.909079 104.713210 115.876842
-150.274187 61.207784 51.500000 29.737947 109.816818 121.711997
-150.264770 61.207784 51.500000 31.338977 114.933145 127.468736
-150.255353 61.207784 51.500000 32.683731 120.042026 133.115518
-150.245936 61.207784 51.500000 33.744402 125.122167 138.619928
-150.236518 61.207784 51.500000 34.494389 130.151374 143.949129
-150.227101 61.207784 51.500000 34.908935 135.106814 149.070388
-150.217684 61.207784 51.500000 34.965818 139.965344 153.951671
-150.208267 61.207784 51.500000 34.646081 144.703879 158.562311
-150.198849 61.207784 51.500000 33.934797 149.299809 162.873728
-150.189432 61.207784 51.500000 32.821834 153.731461 166.860195
-150.180015 61.207784 51.500000 31.302607 157.978590 170.499633
-150.170598 61.207784 51.500000 29.378787 162.022893 173.774408
-150.161180 61.207784 51.500000 27.058932 165.848535 176.672108
-150.151763 61.207784 51.500000 24.359019 169.442659 179.186267
-150.142346 61.207784 51.500000 21.302821 172.795879 181.317008
-150.132929 61.207784 51.500000 17.922114 175.902717 183.071562
-150.123511 61.207784 51.500000 14.256668 178.761965 184.464632
-150.114094 61.207784 51.500000 10.353998 181.376966 185.518565
-150.104677 61.207784 51.500000 6.268842 183.755759 186.263296
-150.095260 61.207784 51.500000 2.062366 185.911104 186.736051
-150.085842 61.207784 51.500000 -2.198934 187.860334 186.980761
-150.076425 61.207784 51.500000 -6.444598 189.625052 187.047212
