# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 24.500000 0.260870 1.317619 1.421967
-120.889306 35.539640 24.500000 0.335798 1.335461 1.469780
-120.883745 35.539640 24.500000 0.414134 1.352557 1.518211
-120.878184 35.539640 24.500000 0.495984 1.368820 1.567214
-120.872623 35.539640 24.500000 0.581453 1.384157 1.616738
-120.867062 35.539640 24.500000 0.670643 1.398469 1.666727
-120.861502 35.539640 24.500000 0.763659 1.411653 1.717116
-120.855941 35.539640 24.500000 0.860602 1.423597 1.767838
-120.850380 35.539640 24.500000 0.961574 1.434186 1.818815
-120.844819 35.539640 24.500000 1.066673 1.443297 1.869967
-120.839258 35.539640 24.500000 1.175996 1.450802 1.921201
-120.833697 35.539640 24.500000 1.289636 1.456566 1.972420
-120.828137 35.539640 24.500000 1.407683 1.460447 2.023520
-120.822576 35.539640 24.500000 1.530221 1.462295 2.074384
-120.817015 35.539640 24.500000 1.657331 1.461957 2.124890
-120.811454 35.539640 24.500000 1.789089 1.459271 2.174906
-120.805893 35.539640 24.500000 1.925561 1.454067 2.224291
-120.800332 35.539640 24.500000 2.066807 1.446170 2.272893
-120.794772 35.539640 24.500000 2.212882 1.435398 2.320550
-120.789211 35.539640 24.500000 2.363827 1.421562 2.367092
-120.783650 35.539640 24.500000 2.519675 1.404467 2.412337
-120.778089 35.539640 24.500000 2.680447 1.383912 2.456090
-120.772528 35.539640 24.500000 2.846153 1.359689 2.498150
-120.766968 35.539640 24.500000 3.016788 1.331585 2.538300
-120.761407 35.539640 24.500000 3.192332 1.299382 2.576315
-120.755846 35.539640 24.500000 3.372751 1.262857 2.611957
-120.750285 35.539640 24.500000 3.557990 1.221783 2.644979
-120.744724 35.539640 24.500000 3.747979 1.175930 2.675121
-120.739163 35.539640 24.500000 3.942625 1.125063 2.702113
-120.733603 35.539640 24.500000 4.141815 1.068947 2.725673
-120.728042 35.539640 24.500000 4.345413 1.007345 2.745510
-120.722481 35.539640 24.500000 4.553257 0.940022 2.761325
-120.716920 35.539640 24.500000 4.765162 0.866741 2.772805
-120.711359 35.539640 24.500000 4.980911 0.787269 2.779634
-120.705798 35.539640 24.500000 5.200262 0.701379 2.781483
-120.700238 35.539640 24.500000 5.422941 0.608845 2.778022
