>	GMT_LONLAT										
>#	Data	from	the	full	resolution	GMT	shoreline,	borders,	and	rivers	database
>	Shore	Bin	#	18957,	Level	1					
-122.386724651	37.9087815671	0	0								
-122.385885405	37.9087510491	0	0								
-122.385061418	37.9095597772	0	0								
-122.382558938	37.9095597772	0	0								
-122.381719692	37.9103837644	0	0								
-122.380865187	37.9095902953	0	0								
-122.379186694	37.9095902953	0	0								
-122.378332189	37.908720531	0	0								
-122.376668956	37.908720531	0	0								
-122.375829709	37.9079118029	0	0								
-122.373357748	37.9078965438	0	0								
-122.372137026	37.906614786	0	0								
-122.372198062	37.9058365759	0	0								
-122.370885786	37.904554818	0	0								
-122.369192035	37.904554818	0	0								
-122.368413825	37.9037460899	0	0								
-122.367559319	37.9045243	0	0								
-122.364995804	37.9045243	0	0								
-122.364141299	37.9053940642	0	0								
-122.363439384	37.9053940642	0	0								
-122.362966354	37.9058365759	0	0								
-122.363775082	37.906645304	0	0								
-122.363836118	37.9091630426	0	0								
-122.364614328	37.9099717708	0	0								
-122.364690623	37.9124742504	0	0								
-122.365468833	37.9132829786	0	0								
-122.365423056	37.915007248	0	0								
-122.36630808	37.9158007172	0	0								
-122.36630808	37.9174792096	0	0								
-122.367940795	37.919142443	0	0								
-122.367940795	37.9199969482	0	0								
-122.369192035	37.9211871519	0	0								
-122.370107576	37.9211871519	0	0								
-122.370885786	37.9220874342	0	0								
-122.372533761	37.9220874342	0	0								
-122.373388266	37.9228961624	0	0								
-122.375051499	37.9228961624	0	0								
-122.375478752	37.9233081559	0	0								
-122.375051499	37.9237506676	0	0								
-122.370840009	37.9237201495	0	0								
-122.370061799	37.9229114214	0	0								
-122.366720073	37.9229114214	0	0								
-122.36630808	37.9224994278	0	0								
-122.366338598	37.9199969482	0	0								
-122.365896086	37.9195849546	0	0								
-122.364171817	37.9195849546	0	0								
-122.363836118	37.9191119249	0	0								
-122.363836118	37.9183031968	0	0								
-122.362951095	37.9174944686	0	0								
-122.362966354	37.9166399634	0	0								
-122.362142367	37.9158312352	0	0								
-122.362142367	37.91497673	0	0								
-122.361272602	37.9141069657	0	0								
-122.361272602	37.9091325246	0	0								
-122.360006104	37.9078965438	0	0								
-122.359197375	37.908720531	0	0								
-122.355031662	37.908690013	0	0								
-122.354558633	37.9091630426	0	0								
-122.354634928	37.9116044862	0	0								
-122.353856718	37.9124742504	0	0								
-122.353810941	37.9133287556	0	0								
-122.352498665	37.9145799954	0	0								
-122.348393988	37.9145494774	0	0								
-122.346303502	37.9125047684	0	0								
-122.346303502	37.9116350042	0	0								
-122.347554742	37.9103837644	0	0								
-122.351689937	37.9104142824	0	0								
-122.352117189	37.9099412528	0	0								
-122.352117189	37.9083543145	0	0								
-122.351689937	37.9078965438	0	0								
-122.342534524	37.9078965438	0	0								
-122.341725795	37.9087510491	0	0								
-122.340077821	37.9087510491	0	0								
-122.33916228	37.9095292592	0	0								
-122.337529564	37.9095902953	0	0								
-122.336720836	37.9103837644	0	0								
-122.335057603	37.9103685054	0	0								
-122.334218357	37.9095597772	0	0								
-122.329228656	37.9095902953	0	0								
-122.328358892	37.908720531	0	0								
-122.326726177	37.908720531	0	0								
-122.323781186	37.9058365759	0	0								
-122.323781186	37.9049668116	0	0								
-122.322133211	37.9033035782	0	0								
-122.322560464	37.9029221027	0	0								
-122.323384451	37.9029221027	0	0								
-122.324696727	37.9016708629	0	0								
-122.324635691	37.8975051499	0	0								
-122.322560464	37.8953536278	0	0								
-122.32091249	37.8954146639	0	0								
-122.320057984	37.896192874	0	0								
