# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 30.000000 2.663923 3.292678 4.358247
-120.889306 35.539640 30.000000 2.912325 3.308880 4.473810
-120.883745 35.539640 30.000000 3.170346 3.320953 4.589091
-120.878184 35.539640 30.000000 3.438162 3.328557 4.703822
-120.872623 35.539640 30.000000 3.715939 3.331339 4.817715
-120.867062 35.539640 30.000000 4.003826 3.328929 4.930459
-120.861502 35.539640 30.000000 4.301958 3.320940 5.041724
-120.855941 35.539640 30.000000 4.610450 3.306974 5.151154
-120.850380 35.539640 30.000000 4.929397 3.286612 5.258371
-120.844819 35.539640 30.000000 5.258872 3.259426 5.362974
-120.839258 35.539640 30.000000 5.598921 3.224969 5.464538
-120.833697 35.539640 30.000000 5.949565 3.182785 5.562611
-120.828137 35.539640 30.000000 6.310795 3.132402 5.656719
-120.822576 35.539640 30.000000 6.682565 3.073337 5.746363
-120.817015 35.539640 30.000000 7.064800 3.005098 5.831018
-120.811454 35.539640 30.000000 7.457381 2.927182 5.910135
-120.805893 35.539640 30.000000 7.860152 2.839080 5.983141
-120.800332 35.539640 30.000000 8.272909 2.740276 6.049440
-120.794772 35.539640 30.000000 8.695406 2.630252 6.108414
-120.789211 35.539640 30.000000 9.127341 2.508486 6.159422
-120.783650 35.539640 30.000000 9.568365 2.374459 6.201805
-120.778089 35.539640 30.000000 10.018067 2.227657 6.234884
-120.772528 35.539640 30.000000 10.475983 2.067570 6.257963
-120.766968 35.539640 30.000000 10.941583 1.893702 6.270335
-120.761407 35.539640 30.000000 11.414274 1.705569 6.271278
-120.755846 35.539640 30.000000 11.893398 1.502705 6.260064
-120.750285 35.539640 30.000000 12.378225 1.284668 6.235959
-120.744724 35.539640 30.000000 12.867957 1.051043 6.198226
-120.739163 35.539640 30.000000 13.361720 0.801445 6.146133
-120.733603 35.539640 30.000000 13.858568 0.535527 6.078954
-120.728042 35.539640 30.000000 14.357479 0.252984 5.995976
-120.722481 35.539640 30.000000 14.857354 -0.046439 5.896502
-120.716920 35.539640 30.000000 15.357019 -0.362947 5.779861
-120.711359 35.539640 30.000000 15.855225 -0.696683 5.645407
-120.705798 35.539640 30.000000 16.350648 -1.047724 5.492535
-120.700238 35.539640 30.000000 16.841889 -1.416077 5.320678
-120.694677 35.539640 30.000000 17.327481 -1.801670 5.129323
-120.689116 35.539640 30.000000 17.805890 -2.204346 4.918010
-120.683555 35.539640 30.000000 18.275516 -2.623859 4.686347
-120.677994 35.539640 30.000000 18.734701 -3.059867 4.434013
-120.672434 35.539640 30.000000 19.181736 -3.511926 4.160768
-120.666873 35.539640 30.000000 19.614864 -3.979485 3.866460
-120.661312 35.539640 30.000000 20.032287 -4.461880 3.551034
-120.655751 35.539640 30.000000 20.432178 -4.958334 3.214537
-120.650190 35.539640 30.000000 20.812690 -5.467946 2.857130
-120.644629 35.539640 30.000000 21.171961 -5.989697 2.479088
-120.639069 35.539640 30.000000 21.508131 -6.522437 2.080815
-120.633508 35.539640 30.000000 21.819350 -7.064896 1.662844
-120.627947 35.539640 30.000000 22.103793 -7.615674 1.225843
-120.622386 35.539640 30.000000 22.359672 -8.173246 0.770623
-120.616825 35.539640 30.000000 22.585251 -8.735963 0.298137
-120.611264 35.539640 30.000000 22.778858 -9.302059 -0.190516
-120.605704 35.539640 30.000000 22.938902 -9.869649 -0.694088
-120.600143 35.539640 30.000000 23.063889 -10.436741 -1.211185
-120.594582 35.539640 30.000000 23.152434 -11.001241 -1.740268
-120.589021 35.539640 30.000000 23.203278 -11.560964 -2.279653
-120.583460 35.539640 30.000000 23.215302 -12.113642 -2.827521
-120.577900 35.539640 30.000000 23.187543 -12.656937 -3.381920
-120.572339 35.539640 30.000000 23.119204 -13.188457 -3.940775
-120.566778 35.539640 30.000000 23.009671 -13.705765 -4.501897
-120.561217 35.539640 30.000000 22.858522 -14.206403 -5.062994
-120.555656 35.539640 30.000000 22.665538 -14.687902 -5.621687
-120.550095 35.539640 30.000000 22.430712 -15.147805 -6.175520
-120.544535 35.539640 30.000000 22.154256 -15.583682 -6.721980
-120.538974 35.539640 30.000000 21.836608 -15.993155 -7.258511
-120.533413 35.539640 30.000000 21.478434 -16.373911 -7.782538
-120.527852 35.539640 30.000000 21.080630 -16.723731 -8.291479
-120.522291 35.539640 30.000000 20.644319 -17.040503 -8.782775
-120.516730 35.539640 30.000000 20.170853 -17.322244 -9.253903
-120.511170 35.539640 30.000000 19.661803 -17.567122 -9.702401
-120.505609 35.539640 30.000000 19.118953 -17.773471 -10.125890
-120.500048 35.539640 30.000000 18.544290 -17.939812 -10.522095
-120.494487 35.539640 30.000000 17.939992 -18.064863 -10.888866
-120.488926 35.539640 30.000000 17.308413 -18.147562 -11.224196
-120.483365 35.539640 30.000000 16.652066 -18.187071 -11.526245
-120.477805 35.539640 30.000000 15.973607 -18.182795 -11.793352
-120.472244 35.539640 30.000000 15.275813 -18.134381 -12.024056
-120.466683 35.539640 30.000000 14.561561 -18.041732 -12.217107
-120.461122 35.539640 30.000000 13.833808 -17.905004 -12.371481
-120.455561 35.539640 30.000000 13.095564 -17.724614 -12.486388
-120.450001 35.539640 30.000000 12.349871 -17.501229 -12.561280
-120.444440 35.539640 30.000000 11.599779 -17.235769 -12.595858
-120.438879 35.539640 30.000000 10.848320 -16.929398 -12.590070
-120.433318 35.539640 30.000000 10.098487 -16.583512 -12.544117
-120.427757 35.539640 30.000000 9.353210 -16.199729 -12.458445
-120.422196 35.539640 30.000000 8.615332 -15.779877 -12.333744
-120.416636 35.539640 30.000000 7.887593 -15.325974 -12.170937
-120.411075 35.539640 30.000000 7.172604 -14.840212 -11.971170
-120.405514 35.539640 30.000000 6.472839 -14.324937 -11.735802
-120.399953 35.539640 30.000000 5.790608 -13.782631 -11.466388
-120.394392 35.539640 30.000000 5.128054 -13.215888 -11.164666
-120.388831 35.539640 30.000000 4.487134 -12.627390 -10.832536
-120.383271 35.539640 30.000000 3.869611 -12.019888 -10.472043
-120.377710 35.539640 30.000000 3.277052 -11.396178 -10.085358
-120.372149 35.539640 30.000000 2.710816 -10.759079 -9.674753
-120.366588 35.539640 30.000000 2.172058 -10.111410 -9.242587
-120.361027 35.539640 30.000000 1.661722 -9.455968 -8.791279
-120.355467 35.539640 30.000000 1.180550 -8.795509 -8.323289
-120.349906 35.539640 30.000000 0.729079 -8.132731 -7.841099
-120.344345 35.539640 30.000000 0.307651 -7.470251 -7.347191
-120.338784 35.539640 30.000000 -0.083582 -6.810593 -6.844026
-120.333223 35.539640 30.000000 -0.444650 -6.156173 -6.334033
-120.327662 35.539640 30.000000 -0.775751 -5.509282 -5.819583
-120.322102 35.539640 30.000000 -1.077246 -4.872082 -5.302980
-120.316541 35.539640 30.000000 -1.349643 -4.246589 -4.786446
-120.310980 35.539640 30.000000 -1.593585 -3.634672 -4.272106
-120.305419 35.539640 30.000000 -1.809840 -3.038042 -3.761978
-120.299858 35.539640 30.000000 -1.999282 -2.458252 -3.257965
-120.294297 35.539640 30.000000 -2.162884 -1.896693 -2.761846
-120.288737 35.539640 30.000000 -2.301699 -1.354592 -2.275271
-120.283176 35.539640 30.000000 -2.416850 -0.833016 -1.799756
-120.277615 35.539640 30.000000 -2.509518 -0.332873 -1.336680
-120.272054 35.539640 30.000000 -2.580924 0.145088 -0.887282
-120.266493 35.539640 30.000000 -2.632325 0.600267 -0.452663
-120.260933 35.539640 30.000000 -2.664996 1.032211 -0.033787
-120.255372 35.539640 30.000000 -2.680224 1.440607 0.368518
-120.249811 35.539640 30.000000 -2.679293 1.825274 0.753556
-120.244250 35.539640 30.000000 -2.663483 2.186155 1.120761
-120.238689 35.539640 30.000000 -2.634053 2.523311 1.469690
-120.233128 35.539640 30.000000 -2.592241 2.836911 1.800015
-120.227568 35.539640 30.000000 -2.539252 3.127224 2.111523
-120.222007 35.539640 30.000000 -2.476257 3.394608 2.404106
-120.216446 35.539640 30.000000 -2.404383 3.639505 2.677752
-120.210885 35.539640 30.000000 -2.324715 3.862429 2.932543
-120.205324 35.539640 30.000000 -2.238287 4.063958 3.168643
-120.199763 35.539640 30.000000 -2.146084 4.244727 3.386294
-120.194203 35.539640 30.000000 -2.049038 4.405421 3.585805
-120.188642 35.539640 30.000000 -1.948024 4.546761 3.767551
-120.183081 35.539640 30.000000 -1.843866 4.669505 3.931959
-120.177520 35.539640 30.000000 -1.737329 4.774437 4.079505
-120.171959 35.539640 30.000000 -1.629125 4.862357 4.210707
-120.166399 35.539640 30.000000 -1.519911 4.934082 4.326118
-120.160838 35.539640 30.000000 -1.410291 4.990436 4.426319
-120.155277 35.539640 30.000000 -1.300817 5.032244 4.511918
-120.149716 35.539640 30.000000 -1.191988 5.060333 4.583537
-120.144155 35.539640 30.000000 -1.084258 5.075519 4.641815
-120.138594 35.539640 30.000000 -0.978031 5.078610 4.687397
-120.133034 35.539640 30.000000 -0.873668 5.070402 4.720934
-120.127473 35.539640 30.000000 -0.771486 5.051672 4.743077
-120.121912 35.539640 30.000000 -0.671763 5.023179 4.754474
-120.116351 35.539640 30.000000 -0.574739 4.985663 4.755767
-120.110790 35.539640 30.000000 -0.480616 4.939836 4.747590
-120.105229 35.539640 30.000000 -0.389567 4.886390 4.730564
-120.099669 35.539640 30.000000 -0.301731 4.825990 4.705297
-120.094108 35.539640 30.000000 -0.217219 4.759272 4.672384
-120.088547 35.539640 30.000000 -0.136117 4.686847 4.632400
-120.082986 35.539640 30.000000 -0.058484 4.609297 4.585904
-120.077425 35.539640 30.000000 0.015639 4.527177 4.533433
-120.071865 35.539640 30.000000 0.086235 4.441013 4.475507
-120.066304 35.539640 30.000000 0.153303 4.351302 4.412623
-120.060743 35.539640 30.000000 0.216857 4.258514 4.345257
-120.055182 35.539640 30.000000 0.276929 4.163093 4.273865
-120.049621 35.539640 30.000000 0.333561 4.065455 4.198879
-120.044060 35.539640 30.000000 0.386807 3.965988 4.120711
-120.038500 35.539640 30.000000 0.436731 3.865058 4.039750
-120.032939 35.539640 30.000000 0.483406 3.763003 3.956366
-120.027378 35.539640 30.000000 0.526911 3.660140 3.870904
-120.021817 35.539640 30.000000 0.567332 3.556760 3.783692
-120.016256 35.539640 30.000000 0.604760 3.453133 3.695037
-120.010695 35.539640 30.000000 0.639289 3.349510 3.605226
-120.005135 35.539640 30.000000 0.671019 3.246118 3.514526
-120.894866 35.544144 30.000000 2.515701 3.393223 4.399503
-120.889306 35.544144 30.000000 2.766991 3.414486 4.521282
-120.883745 35.544144 30.000000 3.028337 3.431696 4.643031
-120.878184 35.544144 30.000000 3.299944 3.444505 4.764482
-120.872623 35.544144 30.000000 3.582000 3.452545 4.885345
-120.867062 35.544144 30.000000 3.874684 3.455434 5.005307
-120.861502 35.544144 30.000000 4.178156 3.452771 5.124033
-120.855941 35.544144 30.000000 4.492558 3.444139 5.241162
-120.850380 35.544144 30.000000 4.818015 3.429103 5.356309
-120.844819 35.544144 30.000000 5.154626 3.407215 5.469065
-120.839258 35.544144 30.000000 5.502466 3.378005 5.578992
-120.833697 35.544144 30.000000 5.861583 3.340994 5.685628
-120.828137 35.544144 30.000000 6.231995 3.295685 5.788483
-120.822576 35.544144 30.000000 6.613684 3.241566 5.887040
-120.817015 35.544144 30.000000 7.006600 3.178116 5.980756
-120.811454 35.544144 30.000000 7.410649 3.104801 6.069060
-120.805893 35.544144 30.000000 7.825699 3.021076 6.151355
-120.800332 35.544144 30.000000 8.251570 2.926390 6.227018
-120.794772 35.544144 30.000000 8.688034 2.820185 6.295399
-120.789211 35.544144 30.000000 9.134811 2.701902 6.355826
-120.783650 35.544144 30.000000 9.591563 2.570977 6.407603
-120.778089 35.544144 30.000000 10.057898 2.426852 6.450011
-120.772528 35.544144 30.000000 10.533359 2.268971 6.482314
-120.766968 35.544144 30.000000 11.017424 2.096789 6.503758
-120.761407 35.544144 30.000000 11.509504 1.909772 6.513574
-120.755846 35.544144 30.000000 12.008939 1.707404 6.510979
-120.750285 35.544144 30.000000 12.514993 1.489190 6.495187
-120.744724 35.544144 30.000000 13.026857 1.254660 6.465403
-120.739163 35.544144 30.000000 13.543643 1.003376 6.420833
-120.733603 35.544144 30.000000 14.064380 0.734937 6.360689
-120.728042 35.544144 30.000000 14.588019 0.448984 6.284192
-120.722481 35.544144 30.000000 15.113427 0.145207 6.190577
-120.716920 35.544144 30.000000 15.639387 -0.176652 6.079103
-120.711359 35.544144 30.000000 16.164602 -0.516785 5.949055
-120.705798 35.544144 30.000000 16.687689 -0.875322 5.799754
-120.700238 35.544144 30.000000 17.207186 -1.252313 5.630561
-120.694677 35.544144 30.000000 17.721555 -1.647731 5.440890
-120.689116 35.544144 30.000000 18.229177 -2.061459 5.230212
-120.683555 35.544144 30.000000 18.728365 -2.493284 4.998062
