date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp
# out/cube/20240303A_EastWest/PointSource/FF_1day
2000-01-01T00:00:00.00Z, 61.19735520041134, -150.42490031332989, 69.55375041788, -, -, - , -, -, - ,0.03081982618865772
2000-01-01T00:00:00.00Z, 61.43113440322386, -150.4245113433403, 32.41484750517585, -, -, - , -, -, - ,0.15684866456369112
2000-01-01T00:00:00.00Z, 61.573935860490536, -150.42442702298223, 36.51639135040233, -, -, - , -, -, - ,0.0655195210712329
2000-01-01T00:00:00.00Z, 61.360254161443734, -150.4136956574913, 38.13064863958036, -, -, - , -, -, - ,0.08992616435279367
2000-01-01T00:00:00.00Z, 61.41923689063319, -150.4183202571249, 29.543295508381323, -, -, - , -, -, - ,0.15239423261563023
2000-01-01T00:00:00.00Z, 61.54323091273326, -150.4137842124635, 28.226058031962722, -, -, - , -, -, - ,0.10514852966110003
2000-01-01T00:00:00.00Z, 61.55181527149547, -150.4109359768661, 27.027386515495106, -, -, - , -, -, - ,0.09466259780539216
2000-01-01T00:00:00.00Z, 61.36153086385927, -150.41030981794964, 26.032987535174122, -, -, - , -, -, - ,0.09969191085701036
2000-01-01T00:00:00.00Z, 61.38886621797203, -150.4035284631253, 39.39870342589358, -, -, - , -, -, - ,0.047918118141253664
2000-01-01T00:00:00.00Z, 61.24564274564056, -150.39470040296453, 34.84892677082007, -, -, - , -, -, - ,0.06935155920944595
2000-01-01T00:00:00.00Z, 61.28678408279168, -150.39604154879362, 25.570154482239186, -, -, - , -, -, - ,0.06306100621697174
2000-01-01T00:00:00.00Z, 61.29049964991253, -150.39900724007222, 36.495601289903405, -, -, - , -, -, - ,0.09408960400339375
2000-01-01T00:00:00.00Z, 61.320805867511766, -150.39347253539916, 66.51048750624132, -, -, - , -, -, - ,0.02438079472373796
2000-01-01T00:00:00.00Z, 61.53244094807588, -150.39593454871496, 39.31577661170103, -, -, - , -, -, - ,0.03492638250843955
2000-01-01T00:00:00.00Z, 61.538303718373, -150.396083509092, 36.430296185325034, -, -, - , -, -, - ,0.1009304701143035
2000-01-01T00:00:00.00Z, 61.37996189293064, -150.3835279164836, 33.824299735234824, -, -, - , -, -, - ,0.178477937054894
2000-01-01T00:00:00.00Z, 61.649224500056285, -150.38822353551254, 32.46615506918962, -, -, - , -, -, - ,0.05889882741718403
2000-01-01T00:00:00.00Z, 61.203103610159815, -150.37487917566267, 58.33960627080111, -, -, - , -, -, - ,0.031073593981851572
2000-01-01T00:00:00.00Z, 61.344888106548055, -150.37313998144637, 38.71106261317584, -, -, - , -, -, - ,0.1159411257620198
2000-01-01T00:00:00.00Z, 61.38090224034405, -150.3777618494198, 29.077568671823773, -, -, - , -, -, - ,0.14997739507134777
2000-01-01T00:00:00.00Z, 61.41950717475451, -150.37391944406684, 37.44305852542256, -, -, - , -, -, - ,0.15084783133633223
2000-01-01T00:00:00.00Z, 61.43389863429055, -150.37883376473096, 26.09559383783324, -, -, - , -, -, - ,0.12542388814018735
2000-01-01T00:00:00.00Z, 61.52270959043637, -150.37397128409506, 36.69775461329183, -, -, - , -, -, - ,0.1279316000272131
2000-01-01T00:00:00.00Z, 61.58518199335341, -150.37371158479664, 34.68411115846234, -, -, - , -, -, - ,0.0971574648740774
2000-01-01T00:00:00.00Z, 61.289070671495686, -150.3711644037614, 35.08279253958198, -, -, - , -, -, - ,0.11078623956582377
2000-01-01T00:00:00.00Z, 61.38004471599698, -150.3716255611728, 29.21535342297015, -, -, - , -, -, - ,0.153264902850702
2000-01-01T00:00:00.00Z, 61.47029671667664, -150.3708897707404, 29.94713544477904, -, -, - , -, -, - ,0.18461515365713793
2000-01-01T00:00:00.00Z, 61.51964636585147, -150.36815109065788, 25.935006900109023, -, -, - , -, -, - ,0.1097360354349508
2000-01-01T00:00:00.00Z, 61.516767439791266, -150.36478461610642, 28.248534454240314, -, -, - , -, -, - ,0.13269258308054702
2000-01-01T00:00:00.00Z, 61.19762803166826, -150.35941351678392, 35.67495100744906, -, -, - , -, -, - ,0.0523251309545298
2000-01-01T00:00:00.00Z, 61.294153014221315, -150.3553452082805, 28.692762579063164, -, -, - , -, -, - ,0.0864329395762881
2000-01-01T00:00:00.00Z, 61.3072643173148, -150.361544680893, 62.14766771313726, -, -, - , -, -, - ,0.013589434827986044
2000-01-01T00:00:00.00Z, 61.410022414435375, -150.36058567820027, 27.307256072804908, -, -, - , -, -, - ,0.14729063895412706
2000-01-01T00:00:00.00Z, 61.480740155042774, -150.36157557038527, 32.0669647132055, -, -, - , -, -, - ,0.2064204354352739
2000-01-01T00:00:00.00Z, 61.600438433654176, -150.3623234743238, 25.586044808227868, -, -, - , -, -, - ,0.06800665206768364
2000-01-01T00:00:00.00Z, 61.315238399293314, -150.35199319872572, 37.792179721218886, -, -, - , -, -, - ,0.1361815536263417
2000-01-01T00:00:00.00Z, 61.32420654102306, -150.35327602005566, 35.82269279622089, -, -, - , -, -, - ,0.1590697654176816
2000-01-01T00:00:00.00Z, 61.42573615847982, -150.35235535713855, 38.260367611638465, -, -, - , -, -, - ,0.16328375986209884
2000-01-01T00:00:00.00Z, 61.453330231881715, -150.35064822182218, 33.44156085755498, -, -, - , -, -, - ,0.24490925518750586
2000-01-01T00:00:00.00Z, 61.45359582216669, -150.35082458509552, 36.44002201517799, -, -, - , -, -, - ,0.22178600347349953
2000-01-01T00:00:00.00Z, 61.40609118959073, -150.34099635999044, 32.70572403708505, -, -, - , -, -, - ,0.2426493416153621
