date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp, Mdur, expect_lat, expect_lon, expect_z, EllipsoidAz1, EllipsoidDip1, EllipsoidLen1, EllipsoidAz2, EllipsoidDip2, EllipsoidLen2, EllipsoidLen3, EllipseAz1, EllipseLen1, EllipseAz2, EllipseLen2, publicId
2018-11-30T18:05:21.4027,61.4800,-149.9339,44.1406,0.38,15,101,31.96,3.1888,6.5865,2.90,-9.90,61.4584,-149.9665,48.8643,-225.38,-8.24,1.95,-138.38,19.83,2.54,8.72,118.36,1.64,28.36,3.19, quakeml:earthquake.alaska.edu/event/018fco8u05
2018-11-30T18:07:07.8497,61.4458,-149.7732,53.2422,0.25,19,82,37.79,1.7393,2.0948,2.80,-9.90,61.4469,-149.7809,52.9439,-264.20,-7.15,1.38,-176.29,16.20,2.11,2.65,172.34,1.13,82.34,1.74, quakeml:earthquake.alaska.edu/event/018fco98g2
2018-11-30T18:10:36.3647,61.5792,-149.8048,54.4434,0.14,68,37,5.90,0.3412,0.5606,3.80,-9.90,61.5791,-149.8060,54.3719,2.71,6.30,0.32,-267.31,-0.23,0.42,0.70,267.17,0.27,177.17,0.34, quakeml:earthquake.alaska.edu/event/018fco9xt0
2018-11-30T18:11:49.9147,61.4635,-149.9611,43.0859,0.23,25,70,33.32,1.2262,2.2785,2.90,-9.90,61.4628,-149.9616,43.1061,-191.78,0.50,0.87,78.25,-3.17,1.51,2.83,101.88,0.70,11.88,1.23, quakeml:earthquake.alaska.edu/event/018fcoa6jp
2018-11-30T18:12:32.6608,61.3914,-150.0432,40.4297,0.29,26,60,37.41,0.9199,1.6037,2.90,-9.90,61.3906,-150.0399,40.3943,-155.30,-5.70,0.84,-66.05,7.51,1.12,2.01,241.68,0.69,151.68,0.92, quakeml:earthquake.alaska.edu/event/018fcoacxp
2018-11-30T18:12:49.6638,61.4972,-149.9007,43.7109,0.18,27,81,30.77,1.0763,1.7331,2.90,-9.90,61.4988,-149.9013,43.8424,-167.98,-1.73,0.82,-257.72,8.26,1.31,2.16,258.64,0.67,168.64,1.08, quakeml:earthquake.alaska.edu/event/018fcoae8z
2018-11-30T18:13:28.7077,61.4900,-149.9416,46.3086,0.20,36,68,28.75,0.6786,1.0073,3.30,-9.90,61.4888,-149.9424,46.2883,-189.87,-1.71,0.53,-99.79,-2.65,0.84,1.25,100.03,0.43,10.03,0.68, quakeml:earthquake.alaska.edu/event/018fcoakd8
2018-11-30T18:17:59.1645,61.3727,-150.0677,43.8867,0.23,36,57,36.17,0.4644,0.8000,3.00,-9.90,61.3729,-150.0692,43.7312,-191.30,0.29,0.43,78.76,-11.61,0.55,1.01,101.58,0.35,11.58,0.46, quakeml:earthquake.alaska.edu/event/018fcobhjq
2018-11-30T18:20:04.5682,61.4920,-149.9121,44.3555,0.32,36,32,31.09,0.7146,1.4343,3.20,-9.90,61.4916,-149.9130,44.2515,-166.00,-0.03,0.73,-256.00,1.30,0.88,1.78,256.01,0.59,166.01,0.71, quakeml:earthquake.alaska.edu/event/018fcoc0hl
2018-11-30T18:20:32.8489,61.3826,-150.0712,41.2402,0.16,22,110,37.08,0.3918,0.6331,3.00,-9.90,61.3831,-150.0718,41.1805,-165.92,-7.01,0.36,-75.83,-0.71,0.49,0.79,256.27,0.30,166.27,0.39, quakeml:earthquake.alaska.edu/event/018fcoc2o8
2018-11-30T18:23:19.4078,61.4233,-149.8137,55.0781,0.20,20,86,37.44,2.6038,4.4306,2.40,-9.90,61.4267,-149.8094,54.6868,-216.19,-8.69,2.18,-128.44,14.39,2.96,5.67,116.50,1.84,26.50,2.60, quakeml:earthquake.alaska.edu/event/018fcocot1
2018-11-30T18:24:48.9348,61.2823,-149.9686,44.9609,0.21,32,52,24.80,1.5380,3.8638,2.50,-9.90,61.2816,-149.9684,44.9240,-3.74,1.25,1.65,86.29,1.67,1.90,4.79,94.52,1.33,4.52,1.54, quakeml:earthquake.alaska.edu/event/018fcocys8
2018-11-30T18:25:45.4808,61.5095,-149.8915,44.4336,0.16,20,85,29.70,0.4178,0.7856,2.20,-9.90,61.5094,-149.8920,44.3215,-3.63,-0.61,0.46,-93.60,2.14,0.52,0.97,93.92,0.37,3.92,0.42, quakeml:earthquake.alaska.edu/event/018fcod68d
2018-11-30T18:27:16.0698,61.5464,-149.8976,56.2109,0.21,39,48,25.85,1.7795,2.8681,3.00,-9.90,61.5459,-149.8951,56.2864,-199.53,-2.09,1.84,-109.08,-12.24,2.11,3.61,112.08,1.49,22.08,1.78, quakeml:earthquake.alaska.edu/event/018fcodjeu
2018-11-30T18:27:30.0723,61.4881,-149.9015,54.1406,0.15,16,78,31.70,2.4557,5.6382,3.00,-9.90,61.4870,-149.8995,54.2462,2.00,0.80,2.15,-268.02,-1.40,3.04,6.99,267.83,1.74,177.83,2.46, quakeml:earthquake.alaska.edu/event/018fcodkgu
2018-11-30T18:27:55.3050,61.4841,-149.9368,50.5469,0.19,20,79,31.49,1.9166,5.7997,2.80,-9.90,61.4862,-149.9327,48.7075,-15.42,-4.32,1.54,-104.92,6.62,2.22,7.25,113.29,1.30,23.29,1.92, quakeml:earthquake.alaska.edu/event/018fcodmf1
