date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp, Mdur, expect_lat, expect_lon, expect_z, EllipsoidAz1, EllipsoidDip1, EllipsoidLen1, EllipsoidAz2, EllipsoidDip2, EllipsoidLen2, EllipsoidLen3, EllipseAz1, EllipseLen1, EllipseAz2, EllipseLen2, publicId
2004-09-28T18:03:12.5300,35.9266,-120.4831,3.5499,0.02,16,60,2.89,0.0164,0.0324,1.75,-9.90,35.9267,-120.4831,3.5461,11.58,-6.07,0.02,-78.53,-1.03,0.02,0.04,255.72,0.02,165.72,0.02,30506264
2004-09-28T18:03:41.1100,35.9282,-120.4845,4.1164,0.02,7,198,2.74,0.0264,0.0424,1.03,-9.90,35.9283,-120.4846,4.1192,-160.51,5.61,0.03,-251.38,8.75,0.03,0.05,246.82,0.02,156.82,0.03,30506265
2004-09-28T18:04:00.1000,35.9224,-120.4778,4.1691,0.07,34,39,4.21,0.0192,0.0282,2.35,-9.90,35.9223,-120.4778,4.1553,-148.01,2.00,0.02,-238.44,11.95,0.02,0.04,236.64,0.02,146.64,0.02,30506266
2004-09-28T18:04:34.2700,35.9222,-120.4778,4.1691,0.06,32,51,3.46,0.0208,0.0329,2.46,-9.90,35.9223,-120.4778,4.1590,-158.65,2.52,0.02,-248.97,7.29,0.03,0.04,247.52,0.02,157.52,0.02,30506267
2004-09-28T18:06:22.5200,35.8945,-120.4492,5.1439,0.03,12,100,4.14,0.0585,0.1244,1.42,-9.90,35.8945,-120.4492,5.1329,-170.65,-2.47,0.04,-80.35,-6.89,0.07,0.16,262.32,0.04,172.32,0.06,21400771
2004-09-28T18:06:39.3800,35.9587,-120.5162,4.3932,0.02,6,130,1.62,0.0371,0.0688,1.34,-9.90,35.9587,-120.5163,4.4013,-9.41,-10.37,0.04,-98.51,4.91,0.05,0.09,108.02,0.03,18.02,0.04,30500832
2004-09-28T18:07:18.6000,35.8394,-120.3939,5.2576,0.02,18,54,0.56,0.1828,0.2746,1.62,-9.90,35.8396,-120.3937,5.3294,-75.55,-6.35,0.20,-167.87,-19.94,0.20,0.36,151.39,0.16,61.39,0.18,30500833
2004-09-28T18:07:48.3700,35.8692,-120.4216,4.6956,0.05,8,98,2.27,0.0443,0.0742,1.21,-9.90,35.8693,-120.4215,4.6885,2.27,-1.94,0.03,-88.21,-13.91,0.05,0.09,266.30,0.03,176.30,0.04,30500834
2004-09-28T18:08:17.9700,35.8750,-120.4267,4.7360,0.03,8,124,2.39,0.0404,0.0629,1.24,-9.90,35.8749,-120.4267,4.7586,-196.08,-0.03,0.04,-106.07,-11.58,0.05,0.08,106.10,0.03,16.10,0.04,30500835
2004-09-28T18:09:01.6000,35.9560,-120.5139,7.4254,0.12,33,49,1.39,0.0438,0.0484,2.13,-9.90,35.9560,-120.5140,7.4228,6.89,-7.32,0.04,-86.75,-26.28,0.05,0.06,260.90,0.03,170.90,0.04,30500836
2004-09-28T18:09:36.1000,35.8398,-120.3953,4.9543,0.24,32,76,0.51,0.2905,0.4602,2.84,-9.90,35.8397,-120.3954,4.9220,21.27,7.59,0.21,-66.24,-18.04,0.32,0.60,255.81,0.18,165.81,0.29,30500837
2004-09-28T18:14:46.2900,35.9266,-120.4831,3.5235,0.02,25,60,2.89,0.0166,0.0287,1.92,-9.90,35.9266,-120.4831,3.5107,12.60,-7.45,0.02,-77.75,-2.63,0.02,0.04,254.82,0.01,164.82,0.02,21400774
2004-09-28T18:15:14.9600,36.0106,-120.5699,3.3377,0.04,13,153,4.41,0.0490,0.0876,1.59,-9.90,36.0105,-120.5699,3.3396,-40.05,-1.83,0.05,-130.32,-8.59,0.06,0.11,128.17,0.04,38.17,0.05,30500839
2004-09-28T18:15:37.7700,35.8759,-120.4321,4.3528,0.05,20,47,2.83,0.0648,0.1583,1.66,-9.90,35.8759,-120.4322,4.3318,-149.98,-7.78,0.06,-58.69,-9.35,0.07,0.20,260.10,0.05,170.10,0.06,30500840
2004-09-28T18:20:45.7800,35.8189,-120.3717,4.9807,0.02,10,88,2.09,0.2923,1.2890,1.28,-9.90,35.8191,-120.3724,5.3747,9.59,-6.23,0.23,-80.50,-0.86,0.36,1.61,255.87,0.23,165.87,0.29,30506269
2004-09-28T18:21:12.6500,35.8643,-120.4169,4.5770,0.04,40,51,2.37,0.1273,0.1034,1.82,-9.90,35.8641,-120.4177,4.5570,-200.93,-1.47,0.05,-108.48,-59.01,0.11,0.17,111.46,0.04,21.46,0.13,21400465
2004-09-28T18:22:06.7800,35.8295,-120.3824,6.5529,0.17,8,122,1.64,0.1083,0.1661,1.32,-9.90,35.8294,-120.3824,6.5669,-169.51,-4.12,0.10,-78.41,-15.00,0.13,0.21,262.88,0.08,172.88,0.11,30506270
2004-09-28T18:25:28.7800,35.8564,-120.4083,4.9329,0.54,9,136,2.41,0.0657,0.1032,1.44,-9.90,35.8565,-120.4082,4.9168,-168.81,-9.52,0.05,-76.64,-12.73,0.08,0.13,265.13,0.04,175.13,0.07,30506271
