# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 20.500000 0.245669 1.317205 1.415473
-120.889306 35.539640 20.500000 0.315686 1.333557 1.459831
-120.883745 35.539640 20.500000 0.388688 1.349161 1.504636
-120.878184 35.539640 20.500000 0.464759 1.363939 1.549842
-120.872623 35.539640 20.500000 0.543981 1.377805 1.595398
-120.867062 35.539640 20.500000 0.626436 1.390672 1.641246
-120.861502 35.539640 20.500000 0.712203 1.402444 1.687326
-120.855941 35.539640 20.500000 0.801363 1.413024 1.733570
-120.850380 35.539640 20.500000 0.893990 1.422308 1.779904
-120.844819 35.539640 20.500000 0.990160 1.430187 1.826251
-120.839258 35.539640 20.500000 1.089944 1.436546 1.872523
-120.833697 35.539640 20.500000 1.193410 1.441266 1.918630
-120.828137 35.539640 20.500000 1.300623 1.444222 1.964471
-120.822576 35.539640 20.500000 1.411641 1.445284 2.009940
-120.817015 35.539640 20.500000 1.526519 1.444316 2.054923
-120.811454 35.539640 20.500000 1.645306 1.441176 2.099299
-120.805893 35.539640 20.500000 1.768043 1.435719 2.142936
-120.800332 35.539640 20.500000 1.894765 1.427792 2.185698
-120.794772 35.539640 20.500000 2.025499 1.417237 2.227437
-120.789211 35.539640 20.500000 2.160263 1.403893 2.267998
-120.783650 35.539640 20.500000 2.299064 1.387593 2.307218
-120.778089 35.539640 20.500000 2.441900 1.368164 2.344924
-120.772528 35.539640 20.500000 2.588757 1.345430 2.380932
-120.766968 35.539640 20.500000 2.739606 1.319211 2.415054
-120.761407 35.539640 20.500000 2.894409 1.289324 2.447087
-120.755846 35.539640 20.500000 3.053108 1.255580 2.476824
-120.750285 35.539640 20.500000 3.215634 1.217791 2.504045
-120.744724 35.539640 20.500000 3.381898 1.175766 2.528525
-120.739163 35.539640 20.500000 3.551793 1.129310 2.550027
-120.733603 35.539640 20.500000 3.725195 1.078231 2.568309
-120.728042 35.539640 20.500000 3.901957 1.022337 2.583119
-120.722481 35.539640 20.500000 4.081912 0.961434 2.594199
-120.716920 35.539640 20.500000 4.264871 0.895334 2.601282
-120.711359 35.539640 20.500000 4.450618 0.823851 2.604099
-120.705798 35.539640 20.500000 4.638916 0.746806 2.602372
-120.700238 35.539640 20.500000 4.829500 0.664022 2.595822
-120.694677 35.539640 20.500000 5.022076 0.575334 2.584164
-120.689116 35.539640 20.500000 5.216325 0.480584 2.567114
-120.683555 35.539640 20.500000 5.411898 0.379627 2.544387
-120.677994 35.539640 20.500000 5.608415 0.272330 2.515696
-120.672434 35.539640 20.500000 5.805468 0.158574 2.480761
-120.666873 35.539640 20.500000 6.002615 0.038259 2.439305
-120.661312 35.539640 20.500000 6.199386 -0.088696 2.391059
-120.655751 35.539640 20.500000 6.395276 -0.222351 2.335760
-120.650190 35.539640 20.500000 6.589751 -0.362741 2.273159
-120.644629 35.539640 20.500000 6.782244 -0.509875 2.203022
-120.639069 35.539640 20.500000 6.972158 -0.663733 2.125130
-120.633508 35.539640 20.500000 7.158866 -0.824263 2.039283
-120.627947 35.539640 20.500000 7.341711 -0.991378 1.945307
-120.622386 35.539640 20.500000 7.520010 -1.164953 1.843051
-120.616825 35.539640 20.500000 7.693053 -1.344826 1.732395
-120.611264 35.539640 20.500000 7.860106 -1.530790 1.613252
-120.605704 35.539640 20.500000 8.020416 -1.722594 1.485572
-120.600143 35.539640 20.500000 8.173208 -1.919939 1.349345
-120.594582 35.539640 20.500000 8.317697 -2.122477 1.204602
-120.589021 35.539640 20.500000 8.453084 -2.329807 1.051427
-120.583460 35.539640 20.500000 8.578565 -2.541477 0.889949
-120.577900 35.539640 20.500000 8.693332 -2.756977 0.720356
-120.572339 35.539640 20.500000 8.796586 -2.975742 0.542892
-120.566778 35.539640 20.500000 8.887531 -3.197152 0.357860
-120.561217 35.539640 20.500000 8.965392 -3.420527 0.165630
-120.555656 35.539640 20.500000 9.029413 -3.645131 -0.033366
-120.550095 35.539640 20.500000 9.078869 -3.870173 -0.238626
-120.544535 35.539640 20.500000 9.113070 -4.094808 -0.449580
-120.538974 35.539640 20.500000 9.131371 -4.318136 -0.665587
-120.533413 35.539640 20.500000 9.133181 -4.539212 -0.885939
-120.527852 35.539640 20.500000 9.117964 -4.757042 -1.109856
-120.522291 35.539640 20.500000 9.085254 -4.970593 -1.336492
-120.516730 35.539640 20.500000 9.034662 -5.178798 -1.564933
-120.511170 35.539640 20.500000 8.965879 -5.380559 -1.794208
-120.505609 35.539640 20.500000 8.878686 -5.574756 -2.023282
-120.500048 35.539640 20.500000 8.772964 -5.760257 -2.251071
-120.494487 35.539640 20.500000 8.648692 -5.935922 -2.476445
-120.488926 35.539640 20.500000 8.505962 -6.100618 -2.698233
-120.483365 35.539640 20.500000 8.344976 -6.253224 -2.915234
-120.477805 35.539640 20.500000 8.166053 -6.392646 -3.126224
-120.472244 35.539640 20.500000 7.969633 -6.517823 -3.329970
-120.466683 35.539640 20.500000 7.756272 -6.627744 -3.525235
-120.461122 35.539640 20.500000 7.526650 -6.721455 -3.710795
-120.455561 35.539640 20.500000 7.281564 -6.798072 -3.885446
-120.450001 35.539640 20.500000 7.021925 -6.856793 -4.048023
-120.444440 35.539640 20.500000 6.748758 -6.896909 -4.197406
-120.438879 35.539640 20.500000 6.463189 -6.917812 -4.332536
-120.433318 35.539640 20.500000 6.166446 -6.919005 -4.452427
-120.427757 35.539640 20.500000 5.859843 -6.900114 -4.556177
-120.422196 35.539640 20.500000 5.544771 -6.860891 -4.642983
-120.416636 35.539640 20.500000 5.222690 -6.801223 -4.712147
-120.411075 35.539640 20.500000 4.895113 -6.721135 -4.763089
-120.405514 35.539640 20.500000 4.563593 -6.620791 -4.795354
-120.399953 35.539640 20.500000 4.229710 -6.500503 -4.808619
-120.394392 35.539640 20.500000 3.895055 -6.360719 -4.802697
-120.388831 35.539640 20.500000 3.561213 -6.202032 -4.777546
-120.383271 35.539640 20.500000 3.229753 -6.025167 -4.733265
-120.377710 35.539640 20.500000 2.902208 -5.830981 -4.670097
-120.372149 35.539640 20.500000 2.580064 -5.620452 -4.588426
-120.366588 35.539640 20.500000 2.264741 -5.394672 -4.488776
-120.361027 35.539640 20.500000 1.957587 -5.154835 -4.371800
-120.355467 35.539640 20.500000 1.659861 -4.902225 -4.238281
-120.349906 35.539640 20.500000 1.372725 -4.638203 -4.089113
-120.344345 35.539640 20.500000 1.097232 -4.364195 -3.925302
-120.338784 35.539640 20.500000 0.834323 -4.081674 -3.747945
-120.333223 35.539640 20.500000 0.584818 -3.792149 -3.558222
-120.327662 35.539640 20.500000 0.349410 -3.497146 -3.357382
-120.322102 35.539640 20.500000 0.128667 -3.198198 -3.146731
-120.316541 35.539640 20.500000 -0.076971 -2.896823 -2.927611
-120.310980 35.539640 20.500000 -0.267192 -2.594518 -2.701395
-120.305419 35.539640 20.500000 -0.441808 -2.292741 -2.469464
-120.299858 35.539640 20.500000 -0.600750 -1.992901 -2.233201
-120.294297 35.539640 20.500000 -0.744068 -1.696342 -1.993969
-120.288737 35.539640 20.500000 -0.871917 -1.404340 -1.753107
-120.283176 35.539640 20.500000 -0.984558 -1.118091 -1.511914
-120.277615 35.539640 20.500000 -1.082340 -0.838700 -1.271636
-120.272054 35.539640 20.500000 -1.165702 -0.567182 -1.033463
-120.266493 35.539640 20.500000 -1.235154 -0.304453 -0.798515
-120.260933 35.539640 20.500000 -1.291272 -0.051330 -0.567839
-120.255372 35.539640 20.500000 -1.334691 0.191476 -0.342400
-120.249811 35.539640 20.500000 -1.366088 0.423354 -0.123081
-120.244250 35.539640 20.500000 -1.386179 0.643797 0.089325
-120.238689 35.539640 20.500000 -1.395705 0.852395 0.294113
-120.233128 35.539640 20.500000 -1.395429 1.048839 0.490668
-120.227568 35.539640 20.500000 -1.386120 1.232911 0.678464
-120.222007 35.539640 20.500000 -1.368552 1.404484 0.857063
-120.216446 35.539640 20.500000 -1.343494 1.563511 1.026114
-120.210885 35.539640 20.500000 -1.311703 1.710028 1.185347
-120.205324 35.539640 20.500000 -1.273921 1.844139 1.334571
-120.199763 35.539640 20.500000 -1.230867 1.966017 1.473670
-120.194203 35.539640 20.500000 -1.183233 2.075891 1.602598
-120.188642 35.539640 20.500000 -1.131683 2.174047 1.721373
-120.183081 35.539640 20.500000 -1.076850 2.260813 1.830073
-120.177520 35.539640 20.500000 -1.019329 2.336561 1.928830
-120.171959 35.539640 20.500000 -0.959681 2.401696 2.017823
-120.166399 35.539640 20.500000 -0.898429 2.456649 2.097277
-120.160838 35.539640 20.500000 -0.836057 2.501875 2.167452
-120.155277 35.539640 20.500000 -0.773013 2.537848 2.228643
-120.149716 35.539640 20.500000 -0.709705 2.565051 2.281169
-120.144155 35.539640 20.500000 -0.646504 2.583977 2.325375
-120.138594 35.539640 20.500000 -0.583747 2.595122 2.361623
-120.133034 35.539640 20.500000 -0.521732 2.598982 2.390289
-120.127473 35.539640 20.500000 -0.460727 2.596048 2.411757
-120.121912 35.539640 20.500000 -0.400963 2.586807 2.426421
-120.116351 35.539640 20.500000 -0.342646 2.571735 2.434676
-120.110790 35.539640 20.500000 -0.285949 2.551296 2.436916
-120.105229 35.539640 20.500000 -0.231019 2.525943 2.433536
-120.099669 35.539640 20.500000 -0.177979 2.496112 2.424921
-120.094108 35.539640 20.500000 -0.126927 2.462224 2.411453
-120.088547 35.539640 20.500000 -0.077941 2.424681 2.393504
-120.082986 35.539640 20.500000 -0.031078 2.383868 2.371437
-120.077425 35.539640 20.500000 0.013621 2.340151 2.345600
-120.071865 35.539640 20.500000 0.056134 2.293878 2.316332
-120.066304 35.539640 20.500000 0.096450 2.245377 2.283957
-120.060743 35.539640 20.500000 0.134573 2.194956 2.248785
-120.055182 35.539640 20.500000 0.170518 2.142905 2.211112
-120.049621 35.539640 20.500000 0.204311 2.089496 2.171220
-120.044060 35.539640 20.500000 0.235985 2.034980 2.129374
-120.038500 35.539640 20.500000 0.265581 1.979593 2.085826
-120.032939 35.539640 20.500000 0.293149 1.923552 2.040812
-120.027378 35.539640 20.500000 0.318740 1.867059 1.994554
-120.021817 35.539640 20.500000 0.342412 1.810296 1.947261
-120.016256 35.539640 20.500000 0.364227 1.753434 1.899125
-120.010695 35.539640 20.500000 0.384249 1.696627 1.850327
-120.005135 35.539640 20.500000 0.402544 1.640016 1.801033
-120.894866 35.544144 20.500000 0.174625 1.338170 1.408020
-120.889306 35.544144 20.500000 0.244451 1.356140 1.453920
-120.883745 35.544144 20.500000 0.317348 1.373413 1.500352
-120.878184 35.544144 20.500000 0.393407 1.389909 1.547271
-120.872623 35.544144 20.500000 0.472716 1.405542 1.594629
-120.867062 35.544144 20.500000 0.555365 1.420223 1.642369
-120.861502 35.544144 20.500000 0.641441 1.433857 1.690433
-120.855941 35.544144 20.500000 0.731030 1.446344 1.738756
-120.850380 35.544144 20.500000 0.824217 1.457577 1.787264
-120.844819 35.544144 20.500000 0.921085 1.467447 1.835881
-120.839258 35.544144 20.500000 1.021714 1.475836 1.884522
-120.833697 35.544144 20.500000 1.126180 1.482623 1.933095
-120.828137 35.544144 20.500000 1.234557 1.487678 1.981501
-120.822576 35.544144 20.500000 1.346913 1.490868 2.029634
-120.817015 35.544144 20.500000 1.463313 1.492054 2.077379
-120.811454 35.544144 20.500000 1.583814 1.491089 2.124614
-120.805893 35.544144 20.500000 1.708468 1.487821 2.171209
-120.800332 35.544144 20.500000 1.837320 1.482094 2.217022
-120.794772 35.544144 20.500000 1.970406 1.473743 2.261906
-120.789211 35.544144 20.500000 2.107755 1.462600 2.305702
-120.783650 35.544144 20.500000 2.249383 1.448491 2.348244
