# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 29.500000 -0.869615 0.175809 -0.172037
-119.830525 38.241730 29.500000 -0.867376 0.200324 -0.146626
-119.827646 38.241730 29.500000 -0.864886 0.225299 -0.120655
-119.824768 38.241730 29.500000 -0.862144 0.250732 -0.094125
-119.821890 38.241730 29.500000 -0.859147 0.276621 -0.067038
-119.819011 38.241730 29.500000 -0.855895 0.302962 -0.039396
-119.816133 38.241730 29.500000 -0.852386 0.329752 -0.011203
-119.813255 38.241730 29.500000 -0.848621 0.356986 0.017538
-119.810376 38.241730 29.500000 -0.844599 0.384661 0.046822
-119.807498 38.241730 29.500000 -0.840321 0.412771 0.076643
-119.804620 38.241730 29.500000 -0.835788 0.441311 0.106995
-119.801741 38.241730 29.500000 -0.831001 0.470273 0.137873
-119.798863 38.241730 29.500000 -0.825962 0.499651 0.169267
-119.795985 38.241730 29.500000 -0.820672 0.529438 0.201169
-119.793106 38.241730 29.500000 -0.815136 0.559625 0.233571
-119.790228 38.241730 29.500000 -0.809355 0.590203 0.266461
-119.787349 38.241730 29.500000 -0.803335 0.621163 0.299829
-119.784471 38.241730 29.500000 -0.797079 0.652495 0.333663
-119.781593 38.241730 29.500000 -0.790593 0.684188 0.367950
-119.778714 38.241730 29.500000 -0.783882 0.716230 0.402677
-119.775836 38.241730 29.500000 -0.776952 0.748609 0.437828
-119.772958 38.241730 29.500000 -0.769810 0.781312 0.473388
-119.770079 38.241730 29.500000 -0.762463 0.814325 0.509340
-119.767201 38.241730 29.500000 -0.754920 0.847635 0.545667
-119.764323 38.241730 29.500000 -0.747189 0.881226 0.582350
-119.761444 38.241730 29.500000 -0.739280 0.915083 0.619371
-119.758566 38.241730 29.500000 -0.731202 0.949188 0.656707
-119.755688 38.241730 29.500000 -0.722966 0.983525 0.694339
-119.752809 38.241730 29.500000 -0.714583 1.018076 0.732243
-119.749931 38.241730 29.500000 -0.706065 1.052822 0.770396
-119.747052 38.241730 29.500000 -0.697425 1.087745 0.808775
-119.744174 38.241730 29.500000 -0.688675 1.122824 0.847354
-119.741296 38.241730 29.500000 -0.679830 1.158038 0.886106
-119.738417 38.241730 29.500000 -0.670904 1.193367 0.925006
-119.735539 38.241730 29.500000 -0.661912 1.228789 0.964024
-119.732661 38.241730 29.500000 -0.652868 1.264281 1.003134
-119.729782 38.241730 29.500000 -0.643791 1.299820 1.042304
-119.726904 38.241730 29.500000 -0.634695 1.335384 1.081506
-119.724026 38.241730 29.500000 -0.625598 1.370947 1.120708
-119.721147 38.241730 29.500000 -0.616517 1.406486 1.159880
-119.718269 38.241730 29.500000 -0.607471 1.441976 1.198988
-119.715391 38.241730 29.500000 -0.598477 1.477391 1.238000
-119.712512 38.241730 29.500000 -0.589555 1.512706 1.276884
-119.709634 38.241730 29.500000 -0.580722 1.547895 1.315606
-119.706756 38.241730 29.500000 -0.571999 1.582932 1.354132
-119.703877 38.241730 29.500000 -0.563404 1.617790 1.392429
-119.700999 38.241730 29.500000 -0.554956 1.652443 1.430461
-119.698120 38.241730 29.500000 -0.546676 1.686865 1.468195
-119.695242 38.241730 29.500000 -0.538583 1.721030 1.505597
-119.692364 38.241730 29.500000 -0.530694 1.754909 1.542632
-119.689485 38.241730 29.500000 -0.523031 1.788478 1.579266
-119.686607 38.241730 29.500000 -0.515611 1.821711 1.615466
-119.683729 38.241730 29.500000 -0.508453 1.854581 1.651200
-119.680850 38.241730 29.500000 -0.501575 1.887063 1.686433
-119.677972 38.241730 29.500000 -0.494993 1.919131 1.721134
