# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 26.500000 2.624147 3.302148 4.351807
-120.889306 35.539640 26.500000 2.867669 3.317053 4.464121
-120.883745 35.539640 26.500000 3.120477 3.327876 4.576067
-120.878184 35.539640 26.500000 3.382736 3.334287 4.687382
-120.872623 35.539640 26.500000 3.654603 3.335944 4.797785
-120.867062 35.539640 26.500000 3.936218 3.332487 4.906974
-120.861502 35.539640 26.500000 4.227704 3.323543 5.014624
-120.855941 35.539640 26.500000 4.529169 3.308724 5.120392
-120.850380 35.539640 26.500000 4.840700 3.287628 5.223908
-120.844819 35.539640 26.500000 5.162360 3.259838 5.324782
-120.839258 35.539640 26.500000 5.494189 3.224925 5.422601
-120.833697 35.539640 26.500000 5.836201 3.182445 5.516925
-120.828137 35.539640 26.500000 6.188380 3.131943 5.607295
-120.822576 35.539640 26.500000 6.550676 3.072954 5.693225
-120.817015 35.539640 26.500000 6.923007 3.005002 5.774205
-120.811454 35.539640 26.500000 7.305254 2.927604 5.849705
-120.805893 35.539640 26.500000 7.697255 2.840266 5.919168
-120.800332 35.539640 26.500000 8.098808 2.742494 5.982017
-120.794772 35.539640 26.500000 8.509665 2.633788 6.037653
-120.789211 35.539640 26.500000 8.929526 2.513646 6.085457
-120.783650 35.539640 26.500000 9.358044 2.381571 6.124789
-120.778089 35.539640 26.500000 9.794816 2.237067 6.154993
-120.772528 35.539640 26.500000 10.239380 2.079647 6.175399
-120.766968 35.539640 26.500000 10.691218 1.908834 6.185321
-120.761407 35.539640 26.500000 11.149746 1.724165 6.184063
-120.755846 35.539640 26.500000 11.614317 1.525197 6.170924
-120.750285 35.539640 26.500000 12.084219 1.311506 6.145194
-120.744724 35.539640 26.500000 12.558669 1.082697 6.106164
-120.739163 35.539640 26.500000 13.036814 0.838405 6.053130
-120.733603 35.539640 26.500000 13.517730 0.578302 5.985394
-120.728042 35.539640 26.500000 14.000419 0.302101 5.902269
-120.722481 35.539640 26.500000 14.483812 0.009562 5.803087
-120.716920 35.539640 26.500000 14.966765 -0.299503 5.687203
-120.711359 35.539640 26.500000 15.448063 -0.625223 5.554002
-120.705798 35.539640 26.500000 15.926419 -0.967666 5.402902
-120.700238 35.539640 26.500000 16.400475 -1.326826 5.233364
-120.694677 35.539640 26.500000 16.868807 -1.702625 5.044897
-120.689116 35.539640 26.500000 17.329925 -2.094901 4.837069
-120.683555 35.539640 26.500000 17.782282 -2.503406 4.609506
-120.677994 35.539640 26.500000 18.224271 -2.927799 4.361910
-120.672434 35.539640 26.500000 18.654237 -3.367638 4.094057
-120.666873 35.539640 26.500000 19.070483 -3.822382 3.805811
-120.661312 35.539640 26.500000 19.471271 -4.291379 3.497129
-120.655751 35.539640 26.500000 19.854837 -4.773866 3.168069
-120.650190 35.539640 26.500000 20.219399 -5.268964 2.818796
-120.644629 35.539640 26.500000 20.563163 -5.775676 2.449589
-120.639069 35.539640 26.500000 20.884336 -6.292885 2.060850
