# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 37.500000 -1.276081 0.813159 0.302727
-119.830525 38.241730 37.500000 -1.270854 0.840402 0.332061
-119.827646 38.241730 37.500000 -1.265254 0.867944 0.361843
-119.824768 38.241730 37.500000 -1.259279 0.895777 0.392065
-119.821890 38.241730 37.500000 -1.252928 0.923893 0.422721
-119.819011 38.241730 37.500000 -1.246201 0.952282 0.453802
-119.816133 38.241730 37.500000 -1.239095 0.980936 0.485298
-119.813255 38.241730 37.500000 -1.231613 1.009844 0.517199
-119.810376 38.241730 37.500000 -1.223754 1.038996 0.549494
-119.807498 38.241730 37.500000 -1.215519 1.068380 0.582172
-119.804620 38.241730 37.500000 -1.206911 1.097985 0.615221
-119.801741 38.241730 37.500000 -1.197931 1.127799 0.648626
-119.798863 38.241730 37.500000 -1.188583 1.157808 0.682375
-119.795985 38.241730 37.500000 -1.178870 1.188000 0.716452
-119.793106 38.241730 37.500000 -1.168797 1.218359 0.750841
-119.790228 38.241730 37.500000 -1.158369 1.248873 0.785525
-119.787349 38.241730 37.500000 -1.147591 1.279524 0.820487
-119.784471 38.241730 37.500000 -1.136471 1.310297 0.855709
-119.781593 38.241730 37.500000 -1.125015 1.341176 0.891170
-119.778714 38.241730 37.500000 -1.113232 1.372144 0.926852
-119.775836 38.241730 37.500000 -1.101130 1.403183 0.962731
-119.772958 38.241730 37.500000 -1.088720 1.434275 0.998787
-119.770079 38.241730 37.500000 -1.076012 1.465402 1.034997
-119.767201 38.241730 37.500000 -1.063017 1.496542 1.071336
-119.764323 38.241730 37.500000 -1.049749 1.527678 1.107779
-119.761444 38.241730 37.500000 -1.036220 1.558789 1.144301
-119.758566 38.241730 37.500000 -1.022444 1.589853 1.180876
-119.755688 38.241730 37.500000 -1.008437 1.620850 1.217475
-119.752809 38.241730 37.500000 -0.994215 1.651758 1.254072
-119.749931 38.241730 37.500000 -0.979794 1.682553 1.290636
-119.747052 38.241730 37.500000 -0.965193 1.713215 1.327138
-119.744174 38.241730 37.500000 -0.950430 1.743720 1.363548
-119.741296 38.241730 37.500000 -0.935526 1.774044 1.399833
-119.738417 38.241730 37.500000 -0.920500 1.804163 1.435963
-119.735539 38.241730 37.500000 -0.905374 1.834055 1.471906
-119.732661 38.241730 37.500000 -0.890172 1.863695 1.507626
-119.729782 38.241730 37.500000 -0.874916 1.893059 1.543093
-119.726904 38.241730 37.500000 -0.859630 1.922122 1.578270
-119.724026 38.241730 37.500000 -0.844339 1.950860 1.613124
-119.721147 38.241730 37.500000 -0.829070 1.979249 1.647621
-119.718269 38.241730 37.500000 -0.813848 2.007264 1.681725
-119.715391 38.241730 37.500000 -0.798702 2.034881 1.715400
-119.712512 38.241730 37.500000 -0.783658 2.062076 1.748613
-119.709634 38.241730 37.500000 -0.768746 2.088826 1.781328
-119.706756 38.241730 37.500000 -0.753995 2.115106 1.813508
-119.703877 38.241730 37.500000 -0.739434 2.140895 1.845121
-119.700999 38.241730 37.500000 -0.725093 2.166168 1.876131
