# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 38.000000 0.252094 1.258181 1.359018
-120.889306 35.539640 38.000000 0.324565 1.276758 1.406585
-120.883745 35.539640 38.000000 0.400349 1.294638 1.454778
-120.878184 35.539640 38.000000 0.479539 1.311733 1.503549
-120.872623 35.539640 38.000000 0.562229 1.327953 1.552844
-120.867062 35.539640 38.000000 0.648514 1.343199 1.602605
-120.861502 35.539640 38.000000 0.738484 1.357371 1.652764
-120.855941 35.539640 38.000000 0.832230 1.370360 1.703252
-120.850380 35.539640 38.000000 0.929840 1.382053 1.753989
-120.844819 35.539640 38.000000 1.031399 1.392330 1.804889
-120.839258 35.539640 38.000000 1.136988 1.401067 1.855862
-120.833697 35.539640 38.000000 1.246688 1.408131 1.906806
-120.828137 35.539640 38.000000 1.360571 1.413386 1.957615
-120.822576 35.539640 38.000000 1.478707 1.416688 2.008171
-120.817015 35.539640 38.000000 1.601158 1.417888 2.058352
-120.811454 35.539640 38.000000 1.727983 1.416830 2.108023
-120.805893 35.539640 38.000000 1.859231 1.413351 2.157044
-120.800332 35.539640 38.000000 1.994944 1.407285 2.205263
-120.794772 35.539640 38.000000 2.135156 1.398457 2.252519
-120.789211 35.539640 38.000000 2.279890 1.386687 2.298643
-120.783650 35.539640 38.000000 2.429159 1.371790 2.343454
-120.778089 35.539640 38.000000 2.582965 1.353577 2.386763
-120.772528 35.539640 38.000000 2.741296 1.331851 2.428369
-120.766968 35.539640 38.000000 2.904129 1.306412 2.468063
-120.761407 35.539640 38.000000 3.071423 1.277056 2.505625
-120.755846 35.539640 38.000000 3.243123 1.243575 2.540824
-120.750285 35.539640 38.000000 3.419157 1.205757 2.573420
-120.744724 35.539640 38.000000 3.599433 1.163389 2.603163
-120.739163 35.539640 38.000000 3.783842 1.116257 2.629794
-120.733603 35.539640 38.000000 3.972253 1.064142 2.653043
-120.728042 35.539640 38.000000 4.164513 1.006830 2.672635
-120.722481 35.539640 38.000000 4.360445 0.944105 2.688283
-120.716920 35.539640 38.000000 4.559849 0.875755 2.699694
-120.711359 35.539640 38.000000 4.762497 0.801570 2.706569
-120.705798 35.539640 38.000000 4.968137 0.721346 2.708601
-120.700238 35.539640 38.000000 5.176486 0.634886 2.705481
-120.694677 35.539640 38.000000 5.387233 0.542000 2.696893
-120.689116 35.539640 38.000000 5.600036 0.442507 2.682521
-120.683555 35.539640 38.000000 5.814522 0.336240 2.662049
-120.677994 35.539640 38.000000 6.030284 0.223045 2.635159
-120.672434 35.539640 38.000000 6.246885 0.102783 2.601537
-120.666873 35.539640 38.000000 6.463851 -0.024667 2.560874
-120.661312 35.539640 38.000000 6.680675 -0.159402 2.512868
-120.655751 35.539640 38.000000 6.896816 -0.301500 2.457226
-120.650190 35.539640 38.000000 7.111696 -0.451011 2.393667
-120.644629 35.539640 38.000000 7.324704 -0.607957 2.321925
-120.639069 35.539640 38.000000 7.535195 -0.772328 2.241750
-120.633508 35.539640 38.000000 7.742491 -0.944080 2.152917
-120.627947 35.539640 38.000000 7.945880 -1.123131 2.055221
-120.622386 35.539640 38.000000 8.144619 -1.309361 1.948487
-120.616825 35.539640 38.000000 8.337938 -1.502603 1.832572
-120.611264 35.539640 38.000000 8.525037 -1.702648 1.707367
-120.605704 35.539640 38.000000 8.705093 -1.909234 1.572803
-120.600143 35.539640 38.000000 8.877263 -2.122051 1.428854
-120.594582 35.539640 38.000000 9.040683 -2.340731 1.275543
-120.589021 35.539640 38.000000 9.194480 -2.564851 1.112941
-120.583460 35.539640 38.000000 9.337767 -2.793930 0.941177
-120.577900 35.539640 38.000000 9.469658 -3.027424 0.760439
-120.572339 35.539640 38.000000 9.589264 -3.264730 0.570976
-120.566778 35.539640 38.000000 9.695709 -3.505178 0.373106
-120.561217 35.539640 38.000000 9.788128 -3.748038 0.167213
-120.555656 35.539640 38.000000 9.865679 -3.992515 -0.046243
-120.550095 35.539640 38.000000 9.927551 -4.237752 -0.266732
-120.544535 35.539640 38.000000 9.972969 -4.482831 -0.493644
-120.538974 35.539640 38.000000 10.001203 -4.726775 -0.726294
-120.533413 35.539640 38.000000 10.011579 -4.968552 -0.963920
-120.527852 35.539640 38.000000 10.003486 -5.207077 -1.205683
-120.522291 35.539640 38.000000 9.976383 -5.441220 -1.450666
-120.516730 35.539640 38.000000 9.929813 -5.669808 -1.697883
-120.511170 35.539640 38.000000 9.863404 -5.891637 -1.946275
-120.505609 35.539640 38.000000 9.776883 -6.105473 -2.194720
-120.500048 35.539640 38.000000 9.670082 -6.310067 -2.442034
-120.494487 35.539640 38.000000 9.542946 -6.504161 -2.686983
-120.488926 35.539640 38.000000 9.395536 -6.686498 -2.928284
-120.483365 35.539640 38.000000 9.228038 -6.855837 -3.164622
-120.477805 35.539640 38.000000 9.040766 -7.010960 -3.394654
-120.472244 35.539640 38.000000 8.834165 -7.150687 -3.617021
-120.466683 35.539640 38.000000 8.608814 -7.273888 -3.830362
-120.461122 35.539640 38.000000 8.365422 -7.379496 -4.033327
-120.455561 35.539640 38.000000 8.104834 -7.466521 -4.224587
-120.450001 35.539640 38.000000 7.828022 -7.534059 -4.402850
-120.444440 35.539640 38.000000 7.536080 -7.581308 -4.566876
-120.438879 35.539640 38.000000 7.230225 -7.607580 -4.715490
-120.433318 35.539640 38.000000 6.911779 -7.612308 -4.847596
-120.427757 35.539640 38.000000 6.582168 -7.595059 -4.962192
-120.422196 35.539640 38.000000 6.242904 -7.555540 -5.058378
-120.416636 35.539640 38.000000 5.895578 -7.493609 -5.135377
-120.411075 35.539640 38.000000 5.541842 -7.409275 -5.192538
-120.405514 35.539640 38.000000 5.183396 -7.302706 -5.229348
-120.399953 35.539640 38.000000 4.821970 -7.174229 -5.245441
-120.394392 35.539640 38.000000 4.459311 -7.024328 -5.240604
-120.388831 35.539640 38.000000 4.097163 -6.853645 -5.214780
-120.383271 35.539640 38.000000 3.737252 -6.662972 -5.168071
-120.377710 35.539640 38.000000 3.381266 -6.453247 -5.100740
-120.372149 35.539640 38.000000 3.030844 -6.225544 -5.013206
-120.366588 35.539640 38.000000 2.687556 -5.981063 -4.906041
-120.361027 35.539640 38.000000 2.352889 -5.721121 -4.779965
-120.355467 35.539640 38.000000 2.028235 -5.447133 -4.635839
-120.349906 35.539640 38.000000 1.714879 -5.160601 -4.474650
-120.344345 35.539640 38.000000 1.413987 -4.863100 -4.297505
-120.338784 35.539640 38.000000 1.126600 -4.556257 -4.105617
-120.333223 35.539640 38.000000 0.853626 -4.241738 -3.900288
-120.327662 35.539640 38.000000 0.595833 -3.921229 -3.682896
-120.322102 35.539640 38.000000 0.353852 -3.596421 -3.454880
-120.316541 35.539640 38.000000 0.128168 -3.268992 -3.217725
-120.310980 35.539640 38.000000 -0.080869 -2.940592 -2.972940
-120.305419 35.539640 38.000000 -0.273052 -2.612829 -2.722050
-120.299858 35.539640 38.000000 -0.448304 -2.287253 -2.466575
-120.294297 35.539640 38.000000 -0.606677 -1.965345 -2.208016
-120.288737 35.539640 38.000000 -0.748341 -1.648507 -1.947843
-120.283176 35.539640 38.000000 -0.873583 -1.338048 -1.687481
-120.277615 35.539640 38.000000 -0.982786 -1.035182 -1.428297
-120.272054 35.539640 38.000000 -1.076432 -0.741019 -1.171591
-120.266493 35.539640 38.000000 -1.155081 -0.456556 -0.918589
-120.260933 35.539640 38.000000 -1.219367 -0.182682 -0.670429
-120.255372 35.539640 38.000000 -1.269984 0.079830 -0.428163
-120.249811 35.539640 38.000000 -1.307675 0.330323 -0.192747
-120.244250 35.539640 38.000000 -1.333225 0.568251 0.034961
-120.238689 35.539640 38.000000 -1.347444 0.793179 0.254202
-120.233128 35.539640 38.000000 -1.351165 1.004780 0.464315
-120.227568 35.539640 38.000000 -1.345228 1.202832 0.664740
-120.222007 35.539640 38.000000 -1.330478 1.387206 0.855015
-120.216446 35.539640 38.000000 -1.307751 1.557870 1.034770
-120.210885 35.539640 38.000000 -1.277870 1.714875 1.203727
-120.205324 35.539640 38.000000 -1.241641 1.858352 1.361695
-120.199763 35.539640 38.000000 -1.199842 1.988502 1.508565
-120.194203 35.539640 38.000000 -1.153224 2.105592 1.644303
-120.188642 35.539640 38.000000 -1.102504 2.209947 1.768945
-120.183081 35.539640 38.000000 -1.048363 2.301940 1.882594
-120.177520 35.539640 38.000000 -0.991441 2.381987 1.985411
-120.171959 35.539640 38.000000 -0.932342 2.450543 2.077607
-120.166399 35.539640 38.000000 -0.871625 2.508091 2.159441
-120.160838 35.539640 38.000000 -0.809807 2.555137 2.231214
-120.155277 35.539640 38.000000 -0.747365 2.592206 2.293260
-120.149716 35.539640 38.000000 -0.684733 2.619834 2.345941
-120.144155 35.539640 38.000000 -0.622304 2.638566 2.389645
-120.138594 35.539640 38.000000 -0.560431 2.648949 2.424777
-120.133034 35.539640 38.000000 -0.499429 2.651530 2.451758
-120.127473 35.539640 38.000000 -0.439576 2.646849 2.471018
-120.121912 35.539640 38.000000 -0.381115 2.635439 2.482993
-120.116351 35.539640 38.000000 -0.324254 2.617824 2.488122
-120.110790 35.539640 38.000000 -0.269172 2.594512 2.486843
-120.105229 35.539640 38.000000 -0.216018 2.565997 2.479589
-120.099669 35.539640 38.000000 -0.164913 2.532755 2.466790
-120.094108 35.539640 38.000000 -0.115955 2.495246 2.448864
-120.088547 35.539640 38.000000 -0.069215 2.453908 2.426222
-120.082986 35.539640 38.000000 -0.024748 2.409160 2.399261
-120.077425 35.539640 38.000000 0.017414 2.361400 2.368365
-120.071865 35.539640 38.000000 0.057254 2.311005 2.333906
-120.066304 35.539640 38.000000 0.094771 2.258330 2.296239
-120.060743 35.539640 38.000000 0.129979 2.203710 2.255702
-120.055182 35.539640 38.000000 0.162901 2.147459 2.212619
-120.049621 35.539640 38.000000 0.193573 2.089869 2.167298
-120.044060 35.539640 38.000000 0.222039 2.031213 2.120029
-120.038500 35.539640 38.000000 0.248352 1.971744 2.071085
-120.032939 35.539640 38.000000 0.272570 1.911696 2.020724
-120.027378 35.539640 38.000000 0.294757 1.851285 1.969188
-120.021817 35.539640 38.000000 0.314982 1.790708 1.916700
