# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 23.000000 -0.117653 -0.082690 -0.129751
-119.830525 38.241730 23.000000 -0.115729 -0.061636 -0.107928
-119.827646 38.241730 23.000000 -0.113759 -0.040103 -0.085607
-119.824768 38.241730 23.000000 -0.111743 -0.018092 -0.062789
-119.821890 38.241730 23.000000 -0.109684 0.004397 -0.039477
-119.819011 38.241730 23.000000 -0.107584 0.027363 -0.015670
-119.816133 38.241730 23.000000 -0.105445 0.050805 0.008627
-119.813255 38.241730 23.000000 -0.103269 0.074721 0.033413
-119.810376 38.241730 23.000000 -0.101061 0.099108 0.058683
-119.807498 38.241730 23.000000 -0.098822 0.123963 0.084434
-119.804620 38.241730 23.000000 -0.096558 0.149283 0.110660
-119.801741 38.241730 23.000000 -0.094270 0.175064 0.137356
-119.798863 38.241730 23.000000 -0.091965 0.201300 0.164515
-119.795985 38.241730 23.000000 -0.089645 0.227988 0.192130
-119.793106 38.241730 23.000000 -0.087317 0.255121 0.220194
-119.790228 38.241730 23.000000 -0.084984 0.282692 0.248698
-119.787349 38.241730 23.000000 -0.082652 0.310694 0.277633
-119.784471 38.241730 23.000000 -0.080328 0.339120 0.306989
-119.781593 38.241730 23.000000 -0.078017 0.367961 0.336755
-119.778714 38.241730 23.000000 -0.075726 0.397209 0.366919
-119.775836 38.241730 23.000000 -0.073461 0.426853 0.397469
-119.772958 38.241730 23.000000 -0.071229 0.456883 0.428392
-119.770079 38.241730 23.000000 -0.069038 0.487288 0.459673
-119.767201 38.241730 23.000000 -0.066895 0.518057 0.491298
-119.764323 38.241730 23.000000 -0.064809 0.549175 0.523252
-119.761444 38.241730 23.000000 -0.062788 0.580632 0.555517
-119.758566 38.241730 23.000000 -0.060839 0.612412 0.588076
-119.755688 38.241730 23.000000 -0.058973 0.644500 0.620911
-119.752809 38.241730 23.000000 -0.057198 0.676883 0.654003
-119.749931 38.241730 23.000000 -0.055523 0.709543 0.687333
-119.747052 38.241730 23.000000 -0.053959 0.742463 0.720880
-119.744174 38.241730 23.000000 -0.052515 0.775628 0.754622
-119.741296 38.241730 23.000000 -0.051200 0.809017 0.788537
