# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 26.000000 -0.484324 -0.008308 -0.202038
-119.830525 38.241730 26.000000 -0.482098 0.014264 -0.178575
-119.827646 38.241730 26.000000 -0.479714 0.037317 -0.154569
-119.824768 38.241730 26.000000 -0.477174 0.060850 -0.130020
-119.821890 38.241730 26.000000 -0.474476 0.084861 -0.104929
-119.819011 38.241730 26.000000 -0.471621 0.109350 -0.079299
-119.816133 38.241730 26.000000 -0.468610 0.134313 -0.053131
-119.813255 38.241730 26.000000 -0.465444 0.159749 -0.026429
-119.810376 38.241730 26.000000 -0.462125 0.185653 0.000804
-119.807498 38.241730 26.000000 -0.458653 0.212024 0.028563
-119.804620 38.241730 26.000000 -0.455031 0.238855 0.056843
-119.801741 38.241730 26.000000 -0.451261 0.266143 0.085639
-119.798863 38.241730 26.000000 -0.447347 0.293882 0.114944
-119.795985 38.241730 26.000000 -0.443292 0.322067 0.144750
-119.793106 38.241730 26.000000 -0.439099 0.350689 0.175050
-119.790228 38.241730 26.000000 -0.434773 0.379743 0.205834
-119.787349 38.241730 26.000000 -0.430317 0.409220 0.237093
-119.784471 38.241730 26.000000 -0.425738 0.439111 0.268816
-119.781593 38.241730 26.000000 -0.421041 0.469408 0.300992
-119.778714 38.241730 26.000000 -0.416231 0.500101 0.333608
-119.775836 38.241730 26.000000 -0.411316 0.531178 0.366652
-119.772958 38.241730 26.000000 -0.406301 0.562629 0.400109
-119.770079 38.241730 26.000000 -0.401195 0.594442 0.433964
-119.767201 38.241730 26.000000 -0.396005 0.626604 0.468202
-119.764323 38.241730 26.000000 -0.390740 0.659101 0.502805
-119.761444 38.241730 26.000000 -0.385408 0.691919 0.537756
-119.758566 38.241730 26.000000 -0.380019 0.725044 0.573036
-119.755688 38.241730 26.000000 -0.374583 0.758459 0.608626
-119.752809 38.241730 26.000000 -0.369109 0.792149 0.644505
-119.749931 38.241730 26.000000 -0.363609 0.826097 0.680653
-119.747052 38.241730 26.000000 -0.358094 0.860284 0.717047
-119.744174 38.241730 26.000000 -0.352575 0.894693 0.753663
-119.741296 38.241730 26.000000 -0.347065 0.929304 0.790479
-119.738417 38.241730 26.000000 -0.341575 0.964098 0.827468
-119.735539 38.241730 26.000000 -0.336118 0.999054 0.864607
-119.732661 38.241730 26.000000 -0.330708 1.034151 0.901868
-119.729782 38.241730 26.000000 -0.325358 1.069368 0.939225
-119.726904 38.241730 26.000000 -0.320082 1.104682 0.976649
-119.724026 38.241730 26.000000 -0.314893 1.140070 1.014113
-119.721147 38.241730 26.000000 -0.309805 1.175510 1.051588
-119.718269 38.241730 26.000000 -0.304833 1.210977 1.089043
-119.715391 38.241730 26.000000 -0.299992 1.246446 1.126450
-119.712512 38.241730 26.000000 -0.295296 1.281895 1.163776
-119.709634 38.241730 26.000000 -0.290759 1.317296 1.200993
-119.706756 38.241730 26.000000 -0.286396 1.352625 1.238067
-119.703877 38.241730 26.000000 -0.282221 1.387857 1.274969
-119.700999 38.241730 26.000000 -0.278248 1.422964 1.311665
-119.698120 38.241730 26.000000 -0.274492 1.457922 1.348125
-119.695242 38.241730 26.000000 -0.270967 1.492704 1.384317
-119.692364 38.241730 26.000000 -0.267685 1.527283 1.420209
-119.689485 38.241730 26.000000 -0.264661 1.561634 1.455769
-119.686607 38.241730 26.000000 -0.261905 1.595729 1.490967
-119.683729 38.241730 26.000000 -0.259431 1.629544 1.525772
-119.680850 38.241730 26.000000 -0.257249 1.663052 1.560152
-119.677972 38.241730 26.000000 -0.255371 1.696227 1.594079
-119.675094 38.241730 26.000000 -0.253805 1.729045 1.627523
-119.672215 38.241730 26.000000 -0.252562 1.761480 1.660455
-119.669337 38.241730 26.000000 -0.251647 1.793508 1.692849
-119.666459 38.241730 26.000000 -0.251070 1.825106 1.724678
-119.663580 38.241730 26.000000 -0.250834 1.856249 1.755916
-119.660702 38.241730 26.000000 -0.250944 1.886917 1.786539
-119.657823 38.241730 26.000000 -0.251405 1.917087 1.816525
-119.654945 38.241730 26.000000 -0.252216 1.946739 1.845853
-119.652067 38.241730 26.000000 -0.253379 1.975853 1.874501
-119.649188 38.241730 26.000000 -0.254892 2.004410 1.902453
-119.646310 38.241730 26.000000 -0.256753 2.032393 1.929692
-119.643432 38.241730 26.000000 -0.258955 2.059786 1.956204
-119.640553 38.241730 26.000000 -0.261494 2.086573 1.981975
-119.637675 38.241730 26.000000 -0.264361 2.112741 2.006996
-119.634797 38.241730 26.000000 -0.267545 2.138276 2.031258
-119.631918 38.241730 26.000000 -0.271035 2.163169 2.054755
-119.629040 38.241730 26.000000 -0.274816 2.187410 2.077483
-119.626162 38.241730 26.000000 -0.278873 2.210990 2.099441
-119.623283 38.241730 26.000000 -0.283187 2.233903 2.120629
-119.620405 38.241730 26.000000 -0.287738 2.256145 2.141050
-119.617527 38.241730 26.000000 -0.292505 2.277712 2.160710
-119.614648 38.241730 26.000000 -0.297462 2.298603 2.179618
-119.611770 38.241730 26.000000 -0.302585 2.318817 2.197783
-119.608891 38.241730 26.000000 -0.307844 2.338356 2.215218
-119.606013 38.241730 26.000000 -0.313209 2.357223 2.231940
-119.603135 38.241730 26.000000 -0.318648 2.375425 2.247965
-119.600256 38.241730 26.000000 -0.324128 2.392966 2.263314
-119.597378 38.241730 26.000000 -0.329613 2.409854 2.278009
-119.594500 38.241730 26.000000 -0.335065 2.426101 2.292075
-119.591621 38.241730 26.000000 -0.340446 2.441715 2.305537
-119.588743 38.241730 26.000000 -0.345715 2.456711 2.318425
-119.585865 38.241730 26.000000 -0.350830 2.471101 2.330769
-119.582986 38.241730 26.000000 -0.355748 2.484900 2.342600
-119.580108 38.241730 26.000000 -0.360427 2.498124 2.353953
-119.577230 38.241730 26.000000 -0.364819 2.510790 2.364862
-119.574351 38.241730 26.000000 -0.368881 2.522916 2.375364
-119.571473 38.241730 26.000000 -0.372567 2.534521 2.385494
-119.568595 38.241730 26.000000 -0.375829 2.545624 2.395292
-119.565716 38.241730 26.000000 -0.378621 2.556245 2.404796
