# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 189.000000, dip 62.000000, rake -88.000000
-150.424863 61.198775 40.000000 -18.633495 93.211138 85.757740
-150.415446 61.198775 40.000000 -17.435737 96.096187 89.121892
-150.406029 61.198775 40.000000 -16.237361 98.986352 92.491407
-150.396612 61.198775 40.000000 -15.046873 101.875113 95.856364
-150.387194 61.198775 40.000000 -13.873594 104.755589 99.206151
-150.377777 61.198775 40.000000 -12.727647 107.620570 102.529511
-150.368360 61.198775 40.000000 -11.619940 110.462565 105.814589
-150.358943 61.198775 40.000000 -10.562116 113.273856 109.049010
-150.349525 61.198775 40.000000 -9.566497 116.046567 112.219968
-150.340108 61.198775 40.000000 -8.645999 118.772743 115.314343
-150.330691 61.198775 40.000000 -7.814019 121.444442 118.318834
-150.321274 61.198775 40.000000 -7.084304 124.053843 121.220122
-150.311856 61.198775 40.000000 -6.470783 126.593365 124.005052
-150.302439 61.198775 40.000000 -5.987370 129.055796 126.660848
-150.293022 61.198775 40.000000 -5.647738 131.434436 129.175341
-150.283605 61.198775 40.000000 -5.465054 133.723251 131.537229
-150.274187 61.198775 40.000000 -5.451693 135.917031 133.736354
-150.264770 61.198775 40.000000 -5.618907 138.011556 135.763993
-150.255353 61.198775 40.000000 -5.976480 140.003759 137.613167
-150.245936 61.198775 40.000000 -6.532350 141.891892 139.278952
-150.236518 61.198775 40.000000 -7.292222 143.675675 140.758786
-150.227101 61.198775 40.000000 -8.259161 145.356437 142.052772
-150.217684 61.198775 40.000000 -9.433194 146.937232 143.163955
-150.208267 61.198775 40.000000 -10.810917 148.422932 144.098565
-150.198849 61.198775 40.000000 -12.385129 149.820273 144.866221
-150.189432 61.198775 40.000000 -14.144504 151.137867 145.480065
-150.180015 61.198775 40.000000 -16.073318 152.386161 145.956834
-150.170598 61.198775 40.000000 -18.151250 153.577334 146.316834
-150.161180 61.198775 40.000000 -20.353269 154.725128 146.583820
-150.151763 61.198775 40.000000 -22.649631 155.844617 146.784764
-150.142346 61.198775 40.000000 -25.006003 156.951895 146.949493
-150.132929 61.198775 40.000000 -27.383718 158.063698 147.110211
-150.123511 61.198775 40.000000 -29.740183 159.196952 147.300878
-150.114094 61.198775 40.000000 -32.029448 160.368253 147.556474
-150.104677 61.198775 40.000000 -34.202925 161.593301 147.912131
-150.095260 61.198775 40.000000 -36.210273 162.886277 148.402168
-150.085842 61.198775 40.000000 -38.000418 164.259206 149.059038
-150.076425 61.198775 40.000000 -39.522715 165.721302 149.912216
-150.067008 61.198775 40.000000 -40.728200 167.278336 150.987057
-150.057591 61.198775 40.000000 -41.570921 168.932041 152.303673
-150.048173 61.198775 40.000000 -42.009305 170.679580 153.875858
-150.038756 61.198775 40.000000 -42.007504 172.513109 155.710108
-150.029339 61.198775 40.000000 -41.536699 174.419463 157.804783
-150.019922 61.198775 40.000000 -40.576278 176.379969 160.149457
-150.010504 61.198775 40.000000 -39.114871 178.370429 162.724481
-150.001087 61.198775 40.000000 -37.151173 180.361273 165.500804
-149.991670 61.198775 40.000000 -34.694521 182.317886 168.440077
-149.982253 61.198775 40.000000 -31.765196 184.201120 171.495041
